
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../KMeans/AMDS_AMDC_bandwidth_performance.csv -- ../KMeans/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/10/29 21:25:07:525
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
2.65,52.09,3.43,71.09,28.91,1734.22,0.48,0.37,2.26,2.07,2.74,0.44,1.18,0.00,224.78,22.38,0.00,0.00,0.10,0.51,303.18,30.57,439.63,59.65,34.32,19.16,5.81,3.61,0.55,1.85,1.21,54.89,32.63,17.64,4.60,5898587.00,3135588.00,53.16,648.66,0.52,0.30,0.22,
2.73,54.60,0.16,99.50,0.50,1593.28,0.36,0.36,0.63,2.77,2.78,1.60,0.82,0.00,220.00,30.47,0.00,0.00,0.10,0.59,397.76,40.73,483.50,68.74,47.99,18.63,7.40,4.29,0.54,2.03,1.72,67.59,44.54,17.34,5.68,4659991.00,2756945.00,59.16,578.48,0.50,0.29,0.21,
2.74,54.49,0.20,99.34,0.66,1583.70,0.36,0.35,0.64,2.82,2.83,1.56,0.81,0.00,219.42,30.50,0.00,0.00,0.10,0.59,401.91,41.12,490.28,67.70,48.63,18.89,5.06,2.29,0.47,1.23,0.60,67.65,45.44,17.71,4.46,3688149.00,2630812.00,71.33,601.05,0.49,0.28,0.21,
2.75,54.58,0.18,99.52,0.48,1583.17,0.36,0.36,0.52,2.80,2.80,1.94,0.82,0.00,220.15,30.11,0.00,0.00,0.10,0.59,399.50,40.49,486.58,68.52,47.33,20.05,5.32,3.11,0.41,1.81,0.89,66.65,44.81,17.38,4.43,3975091.00,2575176.00,64.78,618.01,0.49,0.28,0.21,
2.66,54.13,0.58,96.48,3.52,1636.26,0.38,0.37,1.25,2.65,2.72,0.80,0.86,0.00,220.47,30.12,0.00,0.00,0.10,0.59,403.97,41.07,486.66,68.18,47.33,19.43,5.30,3.98,0.51,2.61,0.86,65.70,44.06,17.16,4.44,4780032.00,2717918.00,56.86,593.17,0.49,0.29,0.20,
2.66,54.37,0.17,99.02,0.98,1635.18,0.37,0.37,1.15,2.70,2.71,0.87,0.84,0.00,219.80,29.31,0.00,0.00,0.10,0.59,400.49,40.67,481.75,67.71,48.03,18.47,5.61,3.77,0.69,2.03,1.04,63.81,42.64,16.57,4.56,4590394.00,2784253.00,60.65,612.80,0.50,0.30,0.20,
2.64,53.96,0.34,96.84,3.16,1634.20,0.38,0.37,1.90,2.66,2.73,0.53,0.84,0.00,219.51,29.35,0.00,0.00,0.10,0.59,401.88,40.79,485.63,68.17,47.57,19.19,5.27,2.93,0.38,1.75,0.79,66.71,45.01,17.19,4.48,4146951.00,2739233.00,66.05,533.77,0.50,0.30,0.20,
2.61,53.79,0.12,99.43,0.57,1636.79,0.36,0.36,0.92,2.78,2.79,1.09,0.80,0.00,219.15,30.60,0.00,0.00,0.10,0.60,407.09,41.70,491.30,66.75,48.06,17.90,4.94,2.02,0.39,1.02,0.61,66.39,44.94,17.08,4.34,3370540.00,2508594.00,74.43,703.84,0.48,0.28,0.20,
2.65,54.44,0.09,99.54,0.46,1637.32,0.36,0.36,0.97,2.77,2.78,1.03,0.82,0.00,219.55,30.52,0.00,0.00,0.10,0.59,394.32,40.10,483.81,67.14,48.75,18.47,5.15,2.97,0.30,1.90,0.78,66.90,45.17,17.33,4.37,3934952.00,2539672.00,64.54,623.67,0.48,0.28,0.20,
2.65,54.06,0.46,96.60,3.40,1639.34,0.37,0.36,1.50,2.68,2.75,0.67,0.85,0.00,219.54,29.37,0.00,0.00,0.10,0.59,401.67,40.77,481.19,68.38,46.81,19.61,5.47,3.64,0.64,1.97,1.04,66.79,45.05,17.27,4.44,4829951.00,2694115.00,55.78,604.94,0.50,0.29,0.20,
