
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../Logistic_Regression/AMDS_AMDC_bandwidth_performance.csv -- ../Logistic_Regression/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/10/29 21:38:16:054
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
2.78,54.69,0.13,99.70,0.30,1632.08,0.36,0.36,0.44,2.80,2.80,2.30,0.85,0.00,219.84,30.59,0.00,0.00,0.10,0.59,401.04,40.51,486.58,70.72,46.46,20.14,7.14,5.18,1.63,2.18,1.37,68.64,44.55,18.27,5.78,5417112.00,3133331.00,57.84,648.42,0.48,0.27,0.21,
2.78,54.55,0.24,98.73,1.27,1565.62,0.36,0.36,1.06,2.77,2.79,0.94,0.83,0.00,220.37,30.02,0.00,0.00,0.10,0.59,397.37,40.46,483.24,70.05,47.01,18.53,9.43,5.83,1.27,2.10,2.45,67.77,43.94,16.81,6.98,4973929.00,2720863.00,54.70,595.66,0.47,0.27,0.21,
2.79,53.94,0.99,93.97,6.03,1566.80,0.37,0.35,1.24,2.71,2.83,0.81,0.85,0.00,219.40,29.70,0.00,0.00,0.10,0.59,402.79,41.21,488.16,66.79,48.41,18.33,4.94,2.73,0.66,1.29,0.79,67.44,45.93,17.31,4.16,3932845.00,2547930.00,64.79,631.86,0.47,0.27,0.20,
2.77,54.56,0.22,98.94,1.06,1569.74,0.36,0.36,0.96,2.77,2.79,1.04,0.83,0.00,219.77,30.42,0.00,0.00,0.10,0.60,407.83,41.37,490.60,67.05,48.76,18.96,4.98,3.14,0.48,1.93,0.73,67.03,45.40,17.33,4.25,3901375.00,2522134.00,64.65,666.61,0.47,0.26,0.20,
2.68,54.10,0.47,98.74,1.26,1621.18,0.36,0.36,0.53,2.77,2.78,1.87,0.82,0.00,220.33,30.23,0.00,0.00,0.10,0.59,400.18,40.61,485.15,67.42,49.74,18.10,4.78,2.98,0.49,1.84,0.65,68.14,45.21,18.77,4.13,3753044.00,2473831.00,65.92,650.97,0.47,0.27,0.20,
2.67,54.29,0.19,98.90,1.10,1618.28,0.37,0.36,1.13,2.74,2.76,0.88,0.83,0.00,219.90,30.30,0.00,0.00,0.10,0.59,397.21,40.09,479.00,67.63,48.33,19.36,5.29,3.48,0.39,1.99,1.10,67.23,45.67,17.33,4.18,4479090.00,2509689.00,56.03,675.56,0.47,0.27,0.20,
2.66,54.30,0.12,99.15,0.85,1626.43,0.37,0.37,1.39,2.71,2.72,0.72,0.83,0.00,219.23,30.16,0.00,0.00,0.10,0.59,402.36,40.40,484.28,66.28,47.73,18.36,4.95,3.90,1.27,1.80,0.83,64.14,43.38,16.60,4.12,3710304.00,2507541.00,67.58,614.20,0.47,0.27,0.20,
2.65,54.05,0.19,98.46,1.54,1622.10,0.36,0.36,1.58,2.77,2.80,0.63,0.81,0.00,219.19,30.76,0.00,0.00,0.10,0.60,407.17,41.75,488.51,67.80,49.93,17.98,4.67,2.15,0.46,1.12,0.57,68.21,46.85,17.21,4.10,3183740.00,2304913.00,72.40,689.65,0.47,0.27,0.20,
2.68,54.22,0.51,97.03,2.97,1624.34,0.37,0.36,1.18,2.70,2.75,0.85,0.85,0.00,220.25,29.72,0.00,0.00,0.10,0.59,405.08,41.14,485.08,68.25,49.43,18.68,5.04,3.12,0.77,1.48,0.87,66.63,45.64,16.77,4.18,4410953.00,2457021.00,55.70,655.06,0.48,0.28,0.20,
2.67,54.15,0.37,97.39,2.61,1624.22,0.37,0.37,1.41,2.69,2.74,0.71,0.84,0.00,219.53,30.60,0.00,0.00,0.10,0.60,407.33,41.36,486.59,67.70,48.12,18.71,4.89,3.54,0.78,1.95,0.81,66.68,45.61,16.94,4.09,3992321.00,2395539.00,60.00,681.00,0.47,0.27,0.20,
2.66,54.13,0.06,99.78,0.22,1618.43,0.37,0.37,0.72,2.73,2.73,1.39,0.82,0.00,220.52,30.38,0.00,0.00,0.10,0.59,405.19,40.86,485.19,66.87,47.49,19.04,5.06,3.97,0.43,2.54,0.99,66.62,45.11,17.39,4.07,4158559.00,2387629.00,57.41,666.86,0.47,0.26,0.20,
2.70,53.72,1.26,97.54,2.46,1621.53,0.36,0.36,0.39,2.76,2.77,2.56,0.84,0.00,218.46,28.99,0.00,0.00,0.10,0.58,393.93,40.42,484.87,66.56,48.92,18.49,4.56,3.18,0.57,1.93,0.68,66.42,45.57,16.93,3.88,3812042.00,2450933.00,64.29,702.50,0.46,0.26,0.20,
2.64,54.07,0.07,99.71,0.29,1623.89,0.36,0.36,0.88,2.76,2.76,1.14,0.81,0.00,222.01,29.92,0.00,0.00,0.10,0.60,407.73,41.88,490.35,67.08,50.21,17.67,4.06,1.76,0.36,1.03,0.38,67.92,47.24,16.94,3.69,2854086.00,2048208.00,71.76,662.13,0.45,0.24,0.20,
2.65,53.97,0.30,98.64,1.36,1623.16,0.36,0.36,0.88,2.79,2.81,1.13,0.80,0.00,219.48,30.14,0.00,0.00,0.10,0.60,411.86,42.44,491.16,68.15,50.06,17.83,4.37,2.19,0.44,1.29,0.47,67.70,46.71,17.04,3.91,3080050.00,2176007.00,70.65,689.59,0.46,0.25,0.20,
2.67,54.10,0.54,97.01,2.99,1626.10,0.37,0.36,1.11,2.71,2.77,0.90,0.84,0.00,219.63,30.13,0.00,0.00,0.10,0.59,406.01,41.59,485.12,68.58,48.51,18.62,4.65,2.94,0.47,1.91,0.56,67.14,46.01,17.00,4.09,3835804.00,2344615.00,61.12,669.30,0.46,0.26,0.20,
2.67,54.27,0.27,98.19,1.81,1623.59,0.37,0.36,1.35,2.72,2.75,0.74,0.84,0.00,220.04,30.40,0.00,0.00,0.10,0.59,402.87,40.70,480.67,67.98,49.15,18.75,4.95,3.12,0.42,1.82,0.89,67.63,46.36,17.16,4.06,4110313.00,2399307.00,58.37,675.25,0.47,0.26,0.20,
2.67,54.15,0.30,98.05,1.95,1620.75,0.37,0.36,1.28,2.72,2.76,0.78,0.83,0.00,220.20,29.56,0.00,0.00,0.10,0.59,399.75,39.93,477.78,67.38,47.43,19.01,5.23,4.46,0.55,2.78,1.12,64.84,44.07,16.63,4.11,4637845.00,2536400.00,54.69,661.33,0.48,0.28,0.20,
2.66,54.11,0.10,99.66,0.34,1619.21,0.36,0.36,0.63,2.81,2.81,1.58,0.80,0.00,219.46,30.41,0.00,0.00,0.10,0.60,410.20,42.28,490.44,68.34,49.68,18.34,4.89,2.63,0.58,1.29,0.77,67.65,46.44,17.03,4.13,3545432.00,2420750.00,68.28,684.43,0.47,0.27,0.20,
2.66,54.03,0.28,98.35,1.65,1621.08,0.36,0.36,1.16,2.76,2.79,0.86,0.81,0.00,219.64,30.16,0.00,0.00,0.10,0.60,412.15,42.44,491.04,67.93,49.56,17.98,4.78,2.53,0.53,1.32,0.67,68.29,46.70,17.44,4.11,3520201.00,2404121.00,68.29,675.84,0.47,0.27,0.20,
2.66,54.23,0.20,99.27,0.73,1625.69,0.36,0.36,0.72,2.80,2.81,1.38,0.81,0.00,219.24,30.66,0.00,0.00,0.10,0.60,410.92,42.31,490.40,68.06,50.06,18.11,4.80,2.10,0.42,1.02,0.65,68.98,47.35,17.43,4.15,3291341.00,2392947.00,72.70,693.55,0.47,0.27,0.20,
2.68,54.52,0.25,99.34,0.66,1625.59,0.36,0.36,0.52,2.75,2.76,1.92,0.83,0.00,219.78,30.47,0.00,0.00,0.10,0.58,386.40,39.30,474.30,68.17,47.66,19.06,5.12,4.16,0.60,2.58,0.99,67.07,45.79,17.10,4.13,4595585.00,2530904.00,55.07,643.08,0.47,0.27,0.20,
2.67,54.16,0.49,97.42,2.58,1625.77,0.37,0.36,1.05,2.74,2.78,0.96,0.83,0.00,220.00,29.86,0.00,0.00,0.10,0.60,411.33,42.48,490.49,68.22,48.02,18.69,4.95,3.58,0.61,2.13,0.83,66.91,45.59,17.16,4.11,4222457.00,2420816.00,57.33,684.18,0.47,0.27,0.20,
2.68,54.39,0.39,98.98,1.02,1622.74,0.37,0.37,0.53,2.71,2.71,1.88,0.85,0.00,219.57,29.84,0.00,0.00,0.10,0.59,405.72,41.31,481.25,68.11,49.46,19.05,4.93,3.75,0.40,2.53,0.82,67.60,46.05,17.40,4.11,4580070.00,2481799.00,54.19,686.34,0.48,0.27,0.20,
2.65,53.89,0.22,98.33,1.67,1621.82,0.36,0.36,1.46,2.77,2.80,0.69,0.80,0.00,220.59,29.93,0.00,0.00,0.10,0.60,406.59,41.94,487.80,68.70,50.55,18.03,4.76,2.20,0.45,1.14,0.61,68.52,47.13,17.21,4.14,3423543.00,2427550.00,70.91,682.23,0.47,0.26,0.20,
2.65,54.03,0.16,99.07,0.93,1619.84,0.36,0.36,1.16,2.78,2.80,0.86,0.80,0.00,219.50,30.21,0.00,0.00,0.10,0.60,411.60,42.12,489.35,68.21,49.91,17.92,4.82,2.49,0.54,1.26,0.68,66.90,45.84,16.88,4.13,3440381.00,2440569.00,70.94,662.86,0.47,0.27,0.20,
2.66,54.08,0.18,99.29,0.71,1619.08,0.36,0.36,0.76,2.76,2.77,1.32,0.81,0.00,219.87,30.23,0.00,0.00,0.10,0.60,409.23,41.80,487.12,68.63,48.46,18.45,4.62,2.78,0.55,1.72,0.50,67.82,46.58,17.08,4.12,3644932.00,2401723.00,65.89,669.94,0.47,0.26,0.20,
2.68,54.34,0.30,98.98,1.02,1622.36,0.37,0.37,0.68,2.71,2.73,1.46,0.84,0.00,221.00,29.48,0.00,0.00,0.10,0.59,401.11,39.93,477.82,66.22,47.67,18.15,4.90,3.05,0.42,1.77,0.86,65.91,45.27,16.57,4.04,4413599.00,2510896.00,56.89,631.97,0.48,0.27,0.20,
2.65,54.13,0.16,99.59,0.41,1624.01,0.36,0.36,0.48,2.81,2.81,2.08,0.80,0.00,220.14,30.57,0.00,0.00,0.10,0.59,400.21,40.35,481.32,68.20,48.53,19.22,4.97,3.51,0.49,2.17,0.86,67.20,45.98,17.05,4.11,3964103.00,2381731.00,60.08,671.87,0.47,0.26,0.20,
2.66,54.24,0.15,99.70,0.30,1624.84,0.35,0.35,0.38,2.82,2.82,2.63,0.80,0.00,219.10,30.81,0.00,0.00,0.10,0.60,409.58,42.38,488.09,67.92,49.22,17.85,4.71,2.37,0.52,1.18,0.66,68.77,47.28,17.41,4.04,3431321.00,2446310.00,71.29,673.84,0.47,0.27,0.20,
2.65,54.10,0.08,99.64,0.36,1621.19,0.36,0.36,0.81,2.81,2.81,1.23,0.80,0.00,221.07,30.85,0.00,0.00,0.10,0.59,409.37,40.90,490.36,65.42,48.73,17.70,4.50,2.11,0.47,1.11,0.53,67.04,46.00,17.03,3.96,3220695.00,2444228.00,75.89,672.90,0.47,0.26,0.20,
2.62,54.01,0.35,98.62,1.38,1647.33,0.36,0.36,0.76,2.78,2.80,1.31,0.81,0.00,219.44,29.66,0.00,0.00,0.10,0.59,404.86,41.57,482.73,68.46,49.57,18.88,4.99,2.90,0.67,1.44,0.79,68.02,46.62,17.16,4.20,4059766.00,2503983.00,61.68,661.58,0.47,0.27,0.20,
2.62,54.28,0.26,98.18,1.82,1648.82,0.37,0.36,1.40,2.71,2.75,0.71,0.84,0.00,219.24,30.72,0.00,0.00,0.10,0.59,401.97,40.75,479.01,68.43,48.22,19.62,5.32,4.54,0.51,2.91,1.12,66.51,45.12,17.14,4.20,4478747.00,2484346.00,55.47,679.68,0.47,0.27,0.20,
2.62,54.00,0.36,98.51,1.49,1648.17,0.37,0.37,0.82,2.72,2.74,1.21,0.83,0.00,219.82,30.44,0.00,0.00,0.10,0.60,413.14,43.01,490.35,68.64,47.41,18.99,5.11,4.05,0.79,2.41,0.85,65.44,44.46,16.67,4.26,4334098.00,2644261.00,61.01,638.07,0.48,0.28,0.20,
2.62,54.29,0.17,99.63,0.37,1653.55,0.36,0.36,0.44,2.76,2.76,2.26,0.82,0.00,219.98,30.44,0.00,0.00,0.10,0.60,409.40,42.11,486.36,68.99,48.97,17.95,5.11,2.72,0.65,1.33,0.74,69.32,47.37,17.52,4.37,4311967.00,2634496.00,61.10,682.11,0.47,0.27,0.20,
2.59,53.70,0.50,98.16,1.84,1659.82,0.36,0.36,0.73,2.76,2.79,1.37,0.81,0.00,219.32,30.47,0.00,0.00,0.10,0.60,404.68,41.69,485.33,67.98,49.62,18.32,4.86,2.39,0.57,1.16,0.65,69.16,47.45,17.46,4.21,3674721.00,2483155.00,67.57,664.49,0.48,0.27,0.20,
2.55,54.24,0.24,99.49,0.51,1695.58,0.36,0.36,0.42,2.79,2.79,2.37,0.81,0.00,219.26,30.43,0.00,0.00,0.10,0.60,409.13,42.80,489.82,69.11,50.80,18.18,4.70,2.87,0.85,1.47,0.55,68.05,46.90,16.96,4.14,3819531.00,2573462.00,67.38,673.64,0.48,0.28,0.20,
2.44,53.95,0.07,99.70,0.30,1757.80,0.39,0.39,0.85,2.59,2.59,1.18,0.86,0.00,220.63,29.85,0.00,0.00,0.10,0.60,408.86,42.25,485.05,68.57,48.50,18.96,5.00,4.32,0.54,3.13,0.65,65.74,44.40,16.94,4.36,4730401.00,2683045.00,56.72,655.50,0.48,0.28,0.20,
2.31,53.69,0.29,98.55,1.45,1851.63,0.37,0.37,1.00,2.67,2.70,1.00,0.83,0.00,219.60,29.82,0.00,0.00,0.10,0.59,405.31,41.05,476.71,70.19,50.08,18.94,5.55,3.51,1.02,1.43,1.05,68.68,46.81,17.32,4.50,5131191.00,2774190.00,54.07,655.87,0.48,0.28,0.20,
2.17,53.59,0.26,98.23,1.77,1968.51,0.37,0.37,1.39,2.68,2.71,0.72,0.83,0.00,219.07,30.76,0.00,0.00,0.11,0.60,414.52,43.78,490.58,68.97,50.67,18.82,4.89,3.55,1.37,1.55,0.63,65.46,44.31,16.86,4.26,4063407.00,2776143.00,68.32,656.04,0.48,0.27,0.20,
2.14,53.19,0.16,99.53,0.47,1980.39,0.37,0.37,0.59,2.70,2.71,1.71,0.80,0.00,219.63,30.14,0.00,0.00,0.10,0.60,410.54,42.58,489.26,68.76,49.10,19.08,5.20,3.92,0.59,2.45,0.89,66.64,45.37,16.91,4.32,3981475.00,2513310.00,63.13,727.47,0.47,0.27,0.20,
2.14,53.11,0.26,98.85,1.15,1979.63,0.37,0.37,0.89,2.70,2.72,1.13,0.80,0.00,220.92,30.32,0.00,0.00,0.10,0.60,413.48,43.01,490.26,69.03,50.05,18.26,4.74,2.80,0.39,1.84,0.56,68.32,46.79,17.31,4.17,3464140.00,2472937.00,71.39,718.21,0.47,0.26,0.20,
2.13,52.97,0.06,99.81,0.19,1978.71,0.37,0.37,0.65,2.71,2.71,1.54,0.79,0.00,218.80,30.74,0.00,0.00,0.10,0.60,409.02,41.78,482.34,68.66,49.35,18.95,5.15,2.51,0.52,1.08,0.91,69.45,47.80,17.37,4.24,3808587.00,2479198.00,65.09,732.89,0.47,0.26,0.20,
2.14,53.36,0.08,99.60,0.40,1983.90,0.37,0.37,1.03,2.67,2.68,0.97,0.82,0.00,218.95,30.65,0.00,0.00,0.10,0.60,411.08,42.34,484.02,68.59,49.50,19.26,5.33,3.52,0.56,2.05,0.91,68.54,46.63,17.45,4.42,4253524.00,2675880.00,62.91,685.06,0.48,0.27,0.20,
2.15,53.43,0.34,98.54,1.46,1988.12,0.38,0.38,0.88,2.64,2.67,1.14,0.83,0.00,219.65,30.55,0.00,0.00,0.10,0.60,408.19,42.52,489.86,68.56,48.37,19.63,4.97,3.98,0.39,2.96,0.64,66.43,44.95,17.10,4.33,3972651.00,2494669.00,62.80,705.61,0.47,0.27,0.20,
2.15,53.35,0.33,98.39,1.61,1984.27,0.37,0.36,0.95,2.72,2.75,1.05,0.81,0.00,220.17,30.07,0.00,0.00,0.10,0.59,398.12,41.23,482.91,66.28,49.04,18.16,5.00,3.08,0.77,1.47,0.84,68.32,46.95,17.16,4.16,4211918.00,2733516.00,64.90,682.39,0.48,0.28,0.20,
2.14,53.10,0.21,99.09,0.91,1981.52,0.37,0.37,0.86,2.71,2.73,1.16,0.80,0.00,219.22,30.10,0.00,0.00,0.10,0.60,409.01,42.08,484.01,68.81,49.37,18.63,5.05,2.44,0.51,1.18,0.75,69.16,47.30,17.52,4.30,3907271.00,2480346.00,63.48,713.15,0.47,0.27,0.20,
2.16,53.21,0.78,95.00,5.00,1984.68,0.38,0.37,1.33,2.60,2.70,0.75,0.85,0.00,220.67,29.86,0.00,0.00,0.10,0.59,404.34,41.31,481.78,68.51,49.76,18.64,4.99,3.15,0.70,1.70,0.74,67.97,45.83,17.84,4.25,3965456.00,2622644.00,66.14,690.97,0.48,0.28,0.20,
2.17,53.24,0.86,97.29,2.71,1985.72,0.38,0.38,0.65,2.60,2.63,1.53,0.86,0.00,220.28,30.19,0.00,0.00,0.10,0.60,407.95,42.39,487.09,68.58,48.78,19.65,4.87,4.94,0.89,3.43,0.62,65.21,43.49,17.43,4.25,4741944.00,2599398.00,54.82,701.54,0.48,0.27,0.20,
2.15,53.27,0.22,99.32,0.68,1981.40,0.37,0.37,0.62,2.67,2.67,1.62,0.82,0.00,220.27,30.17,0.00,0.00,0.10,0.59,407.70,41.28,479.13,70.02,48.88,18.77,5.38,2.86,0.63,1.22,1.01,69.36,47.59,17.36,4.36,4682560.00,2638517.00,56.35,676.46,0.48,0.27,0.20,
2.13,53.23,0.13,99.61,0.39,1986.06,0.37,0.36,0.60,2.74,2.74,1.66,0.79,0.00,218.90,30.77,0.00,0.00,0.10,0.60,414.74,43.15,490.74,68.71,50.91,18.40,4.90,2.53,0.70,1.21,0.62,69.78,48.03,17.43,4.28,3408918.00,2467097.00,72.37,714.73,0.47,0.27,0.20,
2.15,53.32,0.55,98.68,1.32,1987.93,0.37,0.37,0.48,2.71,2.72,2.07,0.82,0.00,219.32,30.60,0.00,0.00,0.10,0.60,409.66,42.75,488.26,70.41,49.69,20.18,5.21,3.75,0.52,2.35,0.88,68.47,46.11,17.99,4.33,4035567.00,2490831.00,61.72,702.33,0.47,0.27,0.20,
2.13,53.10,0.11,99.66,0.34,1982.34,0.37,0.37,0.59,2.72,2.73,1.69,0.79,0.00,218.83,30.73,0.00,0.00,0.10,0.60,408.76,42.70,487.57,69.16,49.94,18.18,4.69,3.33,0.74,2.04,0.55,68.01,46.75,17.08,4.14,3532176.00,2475496.00,70.08,717.66,0.47,0.27,0.20,
