
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../LSVM/AMDS_AMDC_bandwidth_performance.csv -- ../LSVM/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/10/29 22:02:11:869
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
2.67,55.09,0.22,98.74,1.26,1715.26,0.34,0.34,1.09,2.91,2.94,0.92,0.84,0.00,219.65,30.54,0.00,0.00,0.10,0.59,406.91,41.31,492.76,70.26,48.66,19.23,5.87,2.95,0.78,1.35,0.82,68.92,45.66,18.17,5.05,4381504.00,2929570.00,66.86,652.69,0.48,0.26,0.22,
2.77,54.51,0.60,95.52,4.48,1579.71,0.37,0.36,1.52,2.69,2.78,0.66,0.86,0.00,220.18,29.81,0.00,0.00,0.10,0.59,397.62,40.28,485.65,66.92,47.35,18.36,5.11,2.46,0.53,1.25,0.68,66.82,44.92,17.42,4.44,3863481.00,2623307.00,67.90,584.57,0.49,0.28,0.21,
2.75,54.35,0.36,97.62,2.38,1577.57,0.36,0.36,1.32,2.75,2.80,0.76,0.83,0.00,219.91,30.30,0.00,0.00,0.10,0.59,402.29,40.85,487.61,69.61,47.32,19.36,8.81,4.59,0.53,2.01,2.06,69.33,44.80,17.73,6.75,4593112.00,2836223.00,61.75,572.92,0.49,0.29,0.20,
2.69,54.27,0.46,97.25,2.75,1615.42,0.38,0.37,1.24,2.66,2.71,0.81,0.86,0.00,220.87,29.53,0.00,0.00,0.10,0.58,389.82,38.66,477.09,65.61,45.65,18.63,5.37,4.32,0.72,2.70,0.89,65.36,43.46,17.38,4.47,5134824.00,2799669.00,54.52,585.74,0.51,0.31,0.20,
2.66,54.43,0.25,98.49,1.51,1635.08,0.37,0.36,1.21,2.73,2.76,0.82,0.84,0.00,219.78,30.38,0.00,0.00,0.10,0.59,399.02,40.45,484.00,69.21,46.75,19.22,5.92,3.40,0.88,1.47,1.05,68.62,45.81,17.88,4.88,4980956.00,2985723.00,59.94,605.30,0.51,0.31,0.20,
2.65,54.27,0.43,98.61,1.39,1640.91,0.36,0.36,0.65,2.74,2.76,1.53,0.83,0.00,220.42,30.19,0.00,0.00,0.10,0.59,402.92,40.74,485.80,67.23,47.04,19.27,5.59,3.77,0.65,2.14,0.98,66.43,44.41,17.34,4.62,4602988.00,2723475.00,59.17,677.67,0.49,0.29,0.20,
2.64,53.92,0.29,98.50,1.50,1637.79,0.36,0.36,1.00,2.78,2.81,1.00,0.81,0.00,218.80,29.46,0.00,0.00,0.10,0.59,400.34,41.20,490.28,67.58,48.63,18.68,5.48,2.78,0.58,1.40,0.81,67.21,44.98,17.51,4.67,4101105.00,2791727.00,68.07,619.01,0.51,0.30,0.20,
2.62,53.94,0.23,98.90,1.10,1640.80,0.36,0.36,0.93,2.77,2.79,1.08,0.80,0.00,219.40,30.46,0.00,0.00,0.10,0.59,399.37,40.84,489.34,68.64,48.45,19.05,5.43,2.50,0.61,1.25,0.63,69.02,45.90,18.27,4.80,3943208.00,2805533.00,71.15,625.42,0.49,0.29,0.20,
2.63,54.21,0.20,99.34,0.66,1640.45,0.36,0.36,0.66,2.78,2.79,1.51,0.81,0.00,219.76,29.89,0.00,0.00,0.10,0.59,403.72,40.73,485.81,68.33,47.50,19.09,5.36,3.31,0.51,2.02,0.78,66.97,44.73,17.62,4.58,4253865.00,2775808.00,65.25,607.04,0.49,0.29,0.20,
2.64,54.33,0.14,99.71,0.29,1640.20,0.37,0.37,0.42,2.73,2.74,2.36,0.83,0.00,219.28,30.03,0.00,0.00,0.10,0.59,401.67,40.23,482.39,68.29,46.69,19.76,5.53,4.07,0.54,2.58,0.95,66.41,44.25,17.53,4.58,4592892.00,2668487.00,58.10,622.41,0.50,0.30,0.20,
