
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../Naive_Bayes/AMDS_AMDC_bandwidth_performance.csv -- ../Naive_Bayes/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/10/29 21:32:34:210
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
2.63,54.03,0.19,99.31,0.69,1702.40,0.36,0.36,0.68,2.80,2.81,1.46,0.83,0.00,219.87,30.65,0.00,0.00,0.10,0.59,401.46,39.78,479.48,71.86,45.92,21.33,7.67,4.83,0.65,2.27,1.92,69.11,44.70,18.62,5.76,6007328.00,3124003.00,52.00,631.46,0.49,0.27,0.22,
2.80,54.58,0.37,98.28,1.72,1561.47,0.36,0.36,0.93,2.75,2.78,1.07,0.84,0.00,220.29,29.96,0.00,0.00,0.10,0.58,390.36,39.60,480.90,68.23,43.51,19.76,5.53,4.08,0.64,2.39,1.05,65.98,44.12,17.34,4.48,4855970.00,2473893.00,50.95,582.64,0.48,0.27,0.21,
2.76,54.18,0.31,98.12,1.88,1564.79,0.37,0.36,1.21,2.73,2.76,0.82,0.83,0.00,220.03,30.17,0.00,0.00,0.10,0.59,403.57,40.47,485.14,66.75,48.34,18.33,4.98,3.09,0.50,1.89,0.70,67.11,44.93,17.87,4.28,3857369.00,2380613.00,61.72,601.08,0.48,0.27,0.20,
2.79,54.70,0.25,99.17,0.83,1570.01,0.35,0.35,0.64,2.85,2.86,1.57,0.81,0.00,219.50,30.35,0.00,0.00,0.10,0.59,399.10,40.66,488.01,65.96,48.34,18.16,4.78,2.54,0.58,1.30,0.66,66.80,45.30,17.35,4.11,3531320.00,2399757.00,67.96,618.95,0.48,0.28,0.20,
2.80,54.83,0.27,98.84,1.16,1570.14,0.35,0.35,0.82,2.85,2.87,1.22,0.82,0.00,220.05,29.97,0.00,0.00,0.10,0.59,401.09,40.42,487.62,65.77,48.07,18.01,4.72,2.51,0.55,1.37,0.59,66.63,44.92,17.54,4.13,3519467.00,2438944.00,69.30,602.13,0.48,0.28,0.20,
2.80,54.93,0.10,99.67,0.33,1566.20,0.36,0.36,0.63,2.79,2.79,1.60,0.83,0.00,219.38,29.96,0.00,0.00,0.10,0.59,399.85,40.44,486.50,66.85,46.41,19.10,5.14,4.31,0.51,2.91,0.89,65.24,43.69,17.26,4.25,4427974.00,2363260.00,53.37,625.91,0.48,0.27,0.20,
2.78,54.48,0.34,98.09,1.91,1566.98,0.36,0.36,1.12,2.77,2.81,0.89,0.83,0.00,220.60,29.92,0.00,0.00,0.10,0.59,404.71,40.89,486.96,68.02,47.85,18.85,5.31,3.12,0.49,1.78,0.85,66.63,44.67,17.46,4.46,4032369.00,2414317.00,59.87,587.62,0.48,0.28,0.20,
2.78,54.50,0.17,99.55,0.45,1564.45,0.35,0.35,0.50,2.85,2.85,2.00,0.80,0.00,217.99,30.57,0.00,0.00,0.10,0.60,405.80,41.09,490.70,66.34,48.38,18.17,4.67,2.30,0.51,1.20,0.59,66.47,45.07,17.28,4.08,3336236.00,2348932.00,70.41,611.14,0.48,0.28,0.20,
2.79,54.68,0.12,99.20,0.80,1564.34,0.36,0.36,1.32,2.77,2.78,0.76,0.83,0.00,219.65,30.37,0.00,0.00,0.10,0.59,396.77,39.45,482.79,65.43,46.87,18.74,5.02,3.59,0.67,2.02,0.91,64.05,43.15,16.75,4.11,4040326.00,2380200.00,58.91,586.57,0.48,0.28,0.20,
2.78,54.55,0.11,99.56,0.44,1564.70,0.35,0.35,0.76,2.85,2.85,1.31,0.80,0.00,219.22,30.70,0.00,0.00,0.10,0.60,405.58,40.91,490.84,66.32,48.13,18.05,4.70,1.93,0.28,1.06,0.59,66.95,45.53,17.27,4.11,3121667.00,2300940.00,73.71,632.80,0.47,0.27,0.20,
2.81,54.95,0.37,98.58,1.42,1566.92,0.37,0.36,0.77,2.73,2.75,1.30,0.86,0.00,221.82,30.66,0.00,0.00,0.10,0.58,401.22,39.29,485.23,65.25,46.65,17.55,4.73,3.51,0.66,2.13,0.73,64.65,43.82,16.79,4.00,4015054.00,2422865.00,60.34,594.75,0.48,0.28,0.20,
2.80,54.70,0.47,96.11,3.89,1569.98,0.36,0.35,1.67,2.74,2.83,0.60,0.85,0.00,220.17,29.91,0.00,0.00,0.10,0.58,393.76,39.38,480.57,67.69,45.87,19.15,5.18,4.13,0.47,2.66,1.00,63.51,42.21,17.08,4.18,4552183.00,2372211.00,52.11,620.42,0.48,0.28,0.20,
2.80,54.77,0.36,99.15,0.85,1569.65,0.35,0.35,0.46,2.86,2.86,2.18,0.81,0.00,219.39,30.48,0.00,0.00,0.10,0.59,396.96,40.47,485.62,65.70,48.88,18.02,4.73,2.31,0.39,1.23,0.70,67.14,45.82,17.25,4.03,3438865.00,2336804.00,67.95,602.02,0.48,0.28,0.20,
2.79,54.69,0.29,99.11,0.89,1568.43,0.35,0.35,0.60,2.84,2.85,1.65,0.81,0.00,218.93,29.91,0.00,0.00,0.10,0.59,401.23,40.95,488.24,66.76,48.35,18.13,4.80,2.49,0.59,1.27,0.64,67.38,45.90,17.28,4.16,3446609.00,2387307.00,69.27,610.82,0.48,0.28,0.20,
2.83,54.37,1.09,92.66,7.34,1564.65,0.38,0.36,1.41,2.63,2.79,0.71,0.89,0.00,218.77,29.61,0.00,0.00,0.10,0.59,404.14,40.62,485.41,66.48,47.92,18.82,5.09,2.73,0.52,1.28,0.93,67.68,46.04,17.44,4.16,4247669.00,2559594.00,60.26,558.94,0.48,0.28,0.20,
2.78,54.65,0.16,99.38,0.62,1564.08,0.36,0.35,0.74,2.81,2.82,1.35,0.81,0.00,220.34,30.49,0.00,0.00,0.10,0.59,401.47,40.31,485.06,67.28,47.55,19.18,5.05,3.23,0.54,1.88,0.81,66.32,44.82,17.22,4.24,3827840.00,2327943.00,60.82,613.03,0.47,0.27,0.20,
2.77,54.53,0.14,99.64,0.36,1565.06,0.36,0.36,0.51,2.76,2.76,1.97,0.83,0.00,219.88,30.36,0.00,0.00,0.10,0.59,403.01,40.01,484.54,67.23,46.65,19.35,5.24,3.89,0.37,2.55,0.98,64.72,43.54,16.88,4.26,4260190.00,2341338.00,54.96,602.48,0.47,0.27,0.20,
2.80,54.54,0.36,98.19,1.81,1565.31,0.36,0.35,0.99,2.79,2.82,1.01,0.83,0.00,219.61,30.49,0.00,0.00,0.10,0.59,404.17,40.51,486.21,66.34,47.00,17.98,4.86,3.25,0.55,1.93,0.77,66.92,45.10,17.68,4.10,3899058.00,2376826.00,60.96,610.37,0.47,0.27,0.20,
