
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../RF/AMDS_AMDC_bandwidth_performance.csv -- ../RF/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/10/29 22:15:52:212
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
2.89,55.62,0.37,97.40,2.60,1612.05,0.36,0.36,1.43,2.74,2.80,0.70,0.91,0.00,219.85,29.80,0.00,0.00,0.10,0.58,390.57,38.73,477.31,69.77,46.17,19.98,7.16,5.00,1.36,2.07,1.57,66.91,43.30,17.97,5.59,6313493.00,3236477.00,51.26,580.02,0.50,0.29,0.22,
2.83,51.14,6.22,52.79,47.21,1636.18,0.60,0.36,2.61,1.67,2.82,0.38,1.53,0.00,215.23,17.62,0.00,0.00,0.10,0.42,224.00,23.17,476.98,54.24,26.31,17.07,12.42,5.83,2.18,1.24,2.40,51.26,25.09,16.12,10.02,6886875.00,2745968.00,39.87,584.35,0.55,0.35,0.21,
2.58,54.07,0.20,99.16,0.84,1672.97,0.36,0.36,0.82,2.78,2.79,1.21,0.81,0.00,218.72,30.26,0.00,0.00,0.10,0.59,400.00,41.50,490.09,67.15,48.20,18.78,5.34,2.65,0.58,1.33,0.75,66.89,44.76,17.49,4.59,4019939.00,2802569.00,69.72,652.40,0.49,0.28,0.21,
2.60,52.74,2.48,73.29,26.71,1696.99,0.48,0.37,2.83,2.10,2.74,0.35,1.11,0.00,223.72,22.77,0.00,0.00,0.10,0.51,294.34,30.33,437.74,52.40,34.69,15.31,4.33,2.66,0.60,1.40,0.66,51.26,33.19,14.35,3.68,4613010.00,2709900.00,58.74,616.08,0.51,0.31,0.20,
2.57,53.36,1.18,97.01,2.99,1694.12,0.37,0.37,0.51,2.70,2.72,1.95,0.84,0.00,222.04,29.73,0.00,0.00,0.10,0.58,395.25,39.33,478.84,72.79,46.40,22.90,5.84,3.74,0.61,2.06,1.06,70.02,43.13,22.06,4.78,4902185.00,2774557.00,56.60,651.21,0.50,0.29,0.21,
2.57,54.12,0.25,98.49,1.51,1696.54,0.37,0.36,1.21,2.72,2.75,0.83,0.84,0.00,219.43,30.26,0.00,0.00,0.10,0.59,401.39,40.44,483.70,68.77,46.60,19.24,5.90,4.07,0.87,2.13,1.07,67.67,45.20,17.60,4.83,4672349.00,2917363.00,62.44,636.07,0.50,0.29,0.20,
2.53,53.79,0.25,98.58,1.42,1698.90,0.37,0.37,1.12,2.71,2.73,0.89,0.82,0.00,219.89,30.01,0.00,0.00,0.10,0.59,399.98,40.89,487.69,68.27,47.83,19.58,5.80,3.40,0.44,1.94,1.02,67.57,45.15,17.59,4.78,4366669.00,2740769.00,62.77,604.39,0.49,0.29,0.20,
2.52,53.77,0.10,99.33,0.67,1698.20,0.37,0.37,1.27,2.72,2.73,0.79,0.81,0.00,220.07,30.52,0.00,0.00,0.10,0.59,401.43,40.80,489.76,68.87,47.12,18.62,5.12,2.69,0.79,1.33,0.58,66.16,44.45,17.12,4.55,3791374.00,2803917.00,73.96,563.40,0.50,0.29,0.20,
2.53,53.71,0.35,98.15,1.85,1700.18,0.36,0.36,1.03,2.76,2.79,0.98,0.81,0.00,220.14,30.39,0.00,0.00,0.10,0.60,405.76,41.37,489.04,68.68,48.17,19.08,5.11,2.15,0.48,1.12,0.55,68.60,45.66,18.33,4.56,3532763.00,2694441.00,76.27,638.58,0.49,0.28,0.20,
2.53,54.04,0.10,99.58,0.42,1701.52,0.37,0.37,0.83,2.71,2.71,1.20,0.83,0.00,220.19,30.30,0.00,0.00,0.10,0.59,402.93,40.77,485.96,67.70,46.81,19.50,5.40,3.58,0.26,2.38,0.95,66.47,44.58,17.39,4.45,4327177.00,2639823.00,61.01,639.90,0.48,0.28,0.20,
