
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../KernelSVM/AMDS_AMDC_bandwidth_performance.csv -- ../KernelSVM/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/10/30 18:42:25:761
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.88,52.85,0.10,99.93,0.07,3747.35,0.30,0.30,0.11,3.39,3.38,8.73,1.06,0.00,225.84,28.69,0.00,0.00,0.09,0.60,446.10,42.03,494.85,76.49,46.20,22.50,7.79,5.11,1.05,2.36,1.70,68.43,42.86,19.42,6.09,14059491.00,3559745.00,25.32,1013.69,0.57,0.34,0.22,
1.86,51.42,0.83,94.17,5.83,3741.36,0.33,0.31,1.19,3.07,3.21,0.84,1.14,0.00,220.46,28.28,0.00,0.00,0.10,0.59,425.74,42.29,478.80,76.06,44.37,25.43,7.06,6.69,3.13,2.27,1.30,71.41,47.09,18.53,5.76,16241667.00,4473815.00,27.55,1038.91,0.74,0.52,0.22,
1.77,52.17,0.87,97.75,2.25,3747.60,0.32,0.32,0.43,3.15,3.17,2.30,1.08,0.00,220.50,30.10,0.00,0.00,0.10,0.59,437.06,44.59,488.70,79.28,50.92,23.97,7.81,4.40,1.28,1.80,1.33,76.09,47.83,21.72,6.48,15428210.00,4551644.00,29.50,979.87,0.67,0.45,0.22,
1.67,51.05,0.12,99.71,0.29,3743.55,0.30,0.30,0.37,3.29,3.29,2.67,0.93,0.00,220.91,30.49,0.00,0.00,0.10,0.61,448.12,43.11,492.37,80.46,52.54,23.61,6.88,3.03,0.82,1.38,0.82,76.71,48.99,21.61,6.06,11082219.00,3157815.00,28.49,1000.38,0.59,0.38,0.21,
1.70,51.01,1.22,93.77,6.23,3743.43,0.31,0.30,0.84,3.18,3.32,1.19,1.00,0.00,220.80,29.99,0.00,0.00,0.10,0.60,446.00,43.06,490.48,80.83,50.88,23.34,6.96,2.59,0.43,1.27,0.90,77.08,49.21,21.76,6.05,10705502.00,3021282.00,28.22,885.20,0.59,0.37,0.21,
1.66,50.88,0.05,99.87,0.13,3743.87,0.30,0.30,0.42,3.29,3.29,2.36,0.92,0.00,220.76,30.08,0.00,0.00,0.10,0.61,448.14,42.59,492.17,80.61,43.22,27.52,6.73,6.78,0.76,5.21,0.81,70.75,44.27,20.51,5.92,11179655.00,3085169.00,27.60,898.80,0.61,0.40,0.21,
1.75,52.52,0.68,95.71,4.29,3743.60,0.34,0.33,1.14,2.93,3.03,0.88,1.14,0.00,219.05,27.74,0.00,0.00,0.10,0.59,424.56,44.11,479.93,81.00,51.39,21.28,8.25,6.51,2.62,2.07,1.82,73.11,47.41,19.22,6.44,17162135.00,4823804.00,28.11,819.84,0.69,0.48,0.22,
1.73,52.19,0.75,98.78,1.22,3743.80,0.32,0.32,0.28,3.16,3.16,3.64,1.04,0.00,220.48,29.83,0.00,0.00,0.10,0.60,449.96,44.53,489.44,76.63,52.32,24.08,10.45,6.28,0.87,1.51,3.91,78.02,49.25,22.17,6.54,16628751.00,4391530.00,26.41,881.43,0.64,0.42,0.22,
1.69,51.65,0.23,98.95,1.05,3743.43,0.31,0.30,0.72,3.26,3.28,1.39,0.97,0.00,220.95,29.95,0.00,0.00,0.10,0.59,426.58,41.07,484.20,79.03,51.26,23.84,7.32,2.97,0.41,1.22,1.34,77.24,49.35,21.87,5.97,11780048.00,3308659.00,28.09,906.50,0.56,0.35,0.21,
1.69,50.84,0.01,100.00,0.00,3748.63,0.30,0.30,0.06,3.33,3.33,16.63,0.93,0.00,220.78,30.27,0.00,0.00,0.10,0.61,446.88,42.83,492.62,79.70,51.40,23.27,6.88,3.55,0.79,1.76,0.99,75.54,48.04,21.56,5.88,10831376.00,3031837.00,27.99,851.50,0.63,0.41,0.21,
