
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../Adaboost/AMDS_AMDC_bandwidth_performance.csv -- ../Adaboost/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/10/30 05:47:37:127
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.72,60.78,0.26,99.67,0.33,3674.41,0.28,0.28,0.21,3.63,3.62,4.73,1.02,0.00,221.34,30.13,0.00,0.00,0.10,0.60,445.56,44.19,492.00,80.90,52.32,21.43,6.89,3.31,1.02,1.31,0.98,70.82,46.93,17.95,5.90,5764101.00,2789280.00,48.39,1026.17,0.55,0.33,0.22,
1.52,58.49,0.21,99.36,0.64,3675.98,0.30,0.30,0.53,3.36,3.37,1.88,0.94,0.00,219.71,29.16,0.00,0.00,0.10,0.58,418.43,39.84,472.08,76.31,51.25,20.91,6.34,2.86,0.65,1.17,1.04,75.61,51.20,19.07,5.29,6005261.00,2710492.00,45.14,1100.01,0.53,0.32,0.21,
1.52,57.98,0.40,98.76,1.24,3677.40,0.30,0.30,0.54,3.35,3.37,1.85,0.93,0.00,220.49,30.30,0.00,0.00,0.10,0.61,448.34,43.72,492.84,79.28,51.92,20.54,6.12,2.67,0.62,1.33,0.72,68.56,46.05,17.07,5.40,5219594.00,2725316.00,52.21,1086.48,0.53,0.32,0.21,
1.53,58.73,0.35,98.78,1.22,3677.39,0.32,0.31,0.66,3.17,3.19,1.52,1.01,0.00,225.17,28.87,0.00,0.00,0.10,0.60,450.82,45.38,493.47,79.52,48.37,23.27,6.76,3.49,1.05,1.38,1.07,75.91,51.03,19.14,5.70,7118754.00,2962270.00,41.61,1076.49,0.55,0.34,0.21,
1.52,57.87,0.44,97.74,2.26,3676.43,0.30,0.30,0.90,3.32,3.37,1.11,0.94,0.00,220.88,30.38,0.00,0.00,0.09,0.59,437.04,41.06,476.51,78.89,47.06,19.56,6.22,4.81,1.34,2.76,0.70,73.11,49.15,18.40,5.52,6655202.00,2836236.00,42.62,1105.83,0.52,0.31,0.21,
1.54,58.62,0.59,99.08,0.92,3676.19,0.29,0.29,0.27,3.42,3.41,3.72,0.94,0.00,220.51,30.27,0.00,0.00,0.10,0.58,409.93,40.42,482.07,80.91,50.62,20.68,6.60,3.35,0.95,1.44,0.96,72.11,48.33,18.11,5.64,6050276.00,2986047.00,49.35,1087.14,0.56,0.35,0.21,
1.51,58.12,0.08,99.65,0.35,3675.64,0.30,0.30,0.80,3.33,3.34,1.24,0.93,0.00,221.86,30.16,0.00,0.00,0.10,0.61,449.10,42.86,493.92,77.61,51.75,20.49,6.33,2.83,0.77,1.16,0.89,75.89,51.43,18.99,5.43,5144433.00,2673204.00,51.96,1121.56,0.54,0.33,0.21,
1.56,58.95,0.53,98.00,2.00,3677.66,0.31,0.31,0.70,3.21,3.24,1.43,1.02,0.00,222.61,29.44,0.00,0.00,0.10,0.60,439.13,43.80,490.13,79.32,51.24,20.86,6.37,3.33,0.79,1.70,0.84,74.51,49.75,19.19,5.53,6313095.00,2904950.00,46.01,1086.25,0.55,0.35,0.21,
1.51,58.06,0.12,99.59,0.41,3677.84,0.30,0.30,0.58,3.35,3.35,1.73,0.93,0.00,219.56,29.57,0.00,0.00,0.10,0.61,448.60,43.65,493.45,80.31,51.55,20.45,6.36,5.61,0.73,4.00,0.88,71.36,47.57,18.27,5.48,5856791.00,2741485.00,46.81,1116.62,0.51,0.31,0.21,
1.52,58.25,0.05,99.81,0.19,3676.45,0.31,0.30,0.74,3.28,3.28,1.35,0.96,0.00,220.60,30.54,0.00,0.00,0.10,0.61,447.33,43.43,493.19,77.53,51.10,20.47,6.83,3.26,0.70,1.13,1.43,74.82,50.55,18.82,5.41,6115381.00,2749351.00,44.96,1082.69,0.52,0.32,0.21,
