
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../Linear_Regression/AMDS_AMDC_bandwidth_performance.csv -- ../Linear_Regression/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/10/29 21:43:36:495
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
2.87,54.78,0.40,97.45,2.55,1594.94,0.37,0.36,1.28,2.73,2.78,0.78,0.89,0.00,220.88,29.71,0.00,0.00,0.10,0.59,396.80,40.06,483.05,71.08,46.60,20.39,6.30,5.20,1.44,2.67,1.10,67.27,43.74,18.29,5.20,5911526.00,2971769.00,50.27,601.14,0.50,0.28,0.22,
2.71,53.85,0.18,99.06,0.94,1587.06,0.36,0.36,1.04,2.77,2.79,0.96,0.80,0.00,219.20,30.82,0.00,0.00,0.10,0.60,405.63,41.19,490.81,67.07,48.08,18.09,4.86,3.10,1.06,1.41,0.63,64.08,42.42,17.38,4.23,3478578.00,2479653.00,71.28,608.15,0.48,0.27,0.21,
2.65,53.81,0.11,99.64,0.36,1615.02,0.36,0.36,0.63,2.77,2.78,1.59,0.80,0.00,219.41,30.32,0.00,0.00,0.10,0.60,406.77,41.59,490.27,66.72,47.74,18.20,4.99,2.57,0.64,1.27,0.67,67.08,45.21,17.51,4.32,3692404.00,2532117.00,68.58,617.03,0.49,0.28,0.20,
2.66,53.85,0.16,99.35,0.65,1614.01,0.37,0.36,0.80,2.73,2.74,1.25,0.82,0.00,219.60,30.53,0.00,0.00,0.10,0.59,398.10,40.76,486.27,66.22,46.99,18.52,5.12,3.55,0.58,2.08,0.89,66.20,44.57,17.36,4.23,4076797.00,2417287.00,59.29,614.92,0.49,0.29,0.20,
2.68,54.23,0.20,99.65,0.35,1617.28,0.37,0.37,0.35,2.73,2.73,2.86,0.83,0.00,220.04,30.38,0.00,0.00,0.10,0.59,399.78,40.19,480.17,66.57,48.14,18.65,5.12,3.09,0.43,1.72,0.93,66.57,45.07,17.27,4.19,4288148.00,2403991.00,56.06,623.28,0.49,0.28,0.20,
2.68,54.30,0.13,99.70,0.30,1619.63,0.36,0.36,0.43,2.79,2.80,2.30,0.81,0.00,219.56,30.17,0.00,0.00,0.10,0.59,396.20,39.96,480.92,67.63,46.92,19.44,5.53,4.15,0.54,2.54,1.07,66.31,44.45,17.36,4.46,4465100.00,2514447.00,56.31,643.35,0.50,0.29,0.20,
2.67,54.08,0.20,99.05,0.95,1618.33,0.36,0.36,0.92,2.75,2.77,1.09,0.82,0.00,220.11,29.88,0.00,0.00,0.10,0.59,399.01,40.67,484.89,66.24,47.83,18.34,4.77,2.64,0.66,1.37,0.61,66.58,44.91,17.47,4.16,3510695.00,2392777.00,68.16,615.11,0.49,0.29,0.20,
2.65,53.68,0.32,98.61,1.39,1617.56,0.36,0.36,0.86,2.76,2.78,1.16,0.81,0.00,218.60,30.21,0.00,0.00,0.10,0.60,406.34,41.69,490.35,66.56,47.39,17.79,4.70,2.04,0.37,1.11,0.57,66.62,44.80,17.65,4.13,3276664.00,2344979.00,71.57,628.65,0.48,0.28,0.20,
2.67,54.02,0.33,97.62,2.38,1617.15,0.37,0.36,1.44,2.70,2.75,0.69,0.83,0.00,219.77,30.24,0.00,0.00,0.10,0.59,396.73,40.00,480.69,66.35,48.26,18.50,5.64,2.92,0.54,1.29,1.09,67.40,45.57,17.24,4.55,3881049.00,2524355.00,65.04,538.41,0.50,0.30,0.20,
2.68,53.92,0.48,96.20,3.80,1615.87,0.38,0.37,1.62,2.65,2.73,0.62,0.85,0.00,220.87,29.60,0.00,0.00,0.10,0.59,399.65,40.40,481.22,66.96,46.77,19.25,5.21,4.28,0.60,2.69,1.00,65.49,44.07,17.17,4.21,4540693.00,2406758.00,53.00,627.45,0.49,0.29,0.20,
