
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../Linear_Regression/AMDC_AMDS_micro_performance_linear.csv -- ../Linear_Regression/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/25 17:08:47:956
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
11.58,9.64,86.26,1.57,98.43,4535.77,2.35,0.37,2.57,0.43,2.73,0.39,14.23,0.00,185.62,0.84,0.00,0.00,0.18,0.09,27.14,5.01,556.11,4.60,3.01,0.89,0.21,0.27,0.06,0.08,0.13,3.79,2.95,0.76,0.07,6798483.00,3650739.00,53.70,114.81,
99.96,2.72,96.82,0.83,99.17,4861.69,1.82,0.55,1.85,0.55,1.82,0.54,105.39,0.00,185.37,0.63,0.01,0.00,0.18,0.06,17.82,3.15,547.32,5.33,2.09,3.10,0.15,0.17,0.02,0.04,0.11,5.06,2.07,2.95,0.05,25353703.00,17709371.00,69.85,124.80,
99.95,2.66,96.88,0.83,99.17,4845.05,1.82,0.57,1.85,0.55,1.76,0.54,105.09,0.00,185.38,0.63,0.02,0.00,0.18,0.06,17.79,3.15,547.23,5.28,2.08,3.06,0.14,0.15,0.01,0.03,0.10,5.10,2.07,2.99,0.03,24177037.00,16042190.00,66.35,127.77,
99.95,2.67,96.86,0.84,99.16,4834.43,1.82,0.57,1.85,0.55,1.76,0.54,105.01,0.00,185.84,0.62,0.02,0.00,0.18,0.06,17.72,3.18,545.71,5.33,2.09,3.10,0.12,0.14,0.02,0.03,0.09,5.16,2.09,3.03,0.03,21214292.00,12762444.00,60.16,116.45,
99.95,2.99,96.52,0.93,99.07,4829.66,1.81,0.56,1.84,0.55,1.79,0.54,104.08,0.00,185.08,0.65,0.01,0.00,0.18,0.06,17.75,3.11,548.10,5.36,2.06,3.15,0.16,0.17,0.01,0.03,0.12,5.14,2.05,3.06,0.04,26558570.00,17656638.00,66.48,137.20,
99.96,2.45,97.09,0.79,99.21,4826.40,1.82,0.59,1.86,0.55,1.70,0.54,105.15,0.00,185.90,0.61,0.02,0.00,0.18,0.06,17.68,3.16,545.38,5.36,2.10,3.13,0.12,0.12,0.01,0.02,0.09,5.17,2.09,3.04,0.03,19230895.00,10777695.00,56.04,119.05,
99.96,2.47,97.07,0.80,99.20,4823.77,1.82,0.59,1.85,0.55,1.70,0.54,104.91,0.00,185.72,0.61,0.02,0.00,0.18,0.06,17.83,3.19,546.59,5.38,2.10,3.10,0.14,0.12,0.01,0.02,0.10,5.17,2.09,3.04,0.05,19686190.00,11092797.00,56.35,118.81,
99.96,2.63,96.91,0.88,99.12,4823.51,1.80,0.60,1.83,0.56,1.67,0.55,103.75,0.00,184.50,0.60,0.01,0.00,0.18,0.07,18.40,3.31,553.70,5.39,2.17,2.93,0.27,0.17,0.01,0.03,0.12,5.16,2.16,2.86,0.15,24527362.00,14742697.00,60.11,113.08,
99.94,4.27,95.20,1.85,98.15,4842.22,1.56,0.67,1.60,0.64,1.49,0.62,90.37,0.00,169.54,0.55,0.04,0.00,0.10,0.03,9.78,0.98,640.37,4.96,0.73,2.33,1.89,0.71,0.03,0.17,0.51,4.13,0.69,2.05,1.39,78559816.00,62348411.00,79.36,107.57,
99.96,4.37,95.15,1.96,98.04,4846.65,1.53,0.68,1.57,0.65,1.46,0.64,88.51,0.00,164.52,0.51,0.06,0.00,0.05,0.02,7.20,0.38,657.05,4.62,0.34,2.01,2.27,0.79,0.04,0.19,0.56,3.70,0.30,1.70,1.71,85577952.00,70131704.00,81.95,106.12,
