
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../Logistic_Regression/AMDC_AMDS_micro_performance_lr.csv -- ../Logistic_Regression/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/25 17:03:36:733
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
11.47,9.42,86.47,1.23,98.77,4553.99,2.79,0.35,3.06,0.36,2.86,0.33,16.80,0.00,201.00,1.25,0.01,0.00,0.18,0.03,10.24,1.86,468.48,2.36,1.37,0.86,0.15,0.21,0.05,0.08,0.09,2.19,1.37,0.76,0.06,6931034.00,3899387.00,56.26,112.65,
99.96,2.29,97.26,0.62,99.38,4884.68,2.07,0.55,2.10,0.48,1.81,0.48,120.66,0.00,200.80,1.10,0.08,0.00,0.22,0.02,5.05,1.12,442.89,6.77,0.83,5.79,0.14,0.15,0.02,0.04,0.09,6.58,0.81,5.71,0.05,25726036.00,16709644.00,64.95,113.85,
99.96,2.50,97.05,0.71,99.29,4850.89,2.07,0.58,2.10,0.48,1.72,0.48,119.62,0.00,200.62,1.10,0.08,0.00,0.22,0.02,5.14,1.13,443.01,6.81,0.83,5.83,0.15,0.15,0.02,0.03,0.10,6.59,0.81,5.73,0.04,25368600.00,14164342.00,55.83,115.27,
99.96,2.28,97.26,0.62,99.38,4850.25,2.07,0.56,2.10,0.48,1.77,0.48,119.83,0.00,200.89,1.09,0.08,0.00,0.22,0.02,4.98,1.12,442.60,6.80,0.83,5.84,0.14,0.15,0.02,0.03,0.10,6.62,0.82,5.77,0.04,23140140.00,11265349.00,48.68,115.98,
99.96,2.33,97.21,0.66,99.34,4848.49,2.07,0.58,2.10,0.48,1.72,0.48,119.70,0.00,200.63,1.11,0.08,0.00,0.22,0.02,5.13,1.12,443.68,6.78,0.82,5.83,0.14,0.14,0.01,0.03,0.11,6.60,0.80,5.76,0.04,24580774.00,11960641.00,48.66,116.44,
99.96,2.40,97.14,0.70,99.30,4843.29,2.05,0.59,2.08,0.49,1.69,0.48,118.43,0.00,199.27,1.07,0.08,0.00,0.21,0.02,5.34,1.14,452.00,6.57,0.83,5.48,0.25,0.16,0.01,0.03,0.12,6.35,0.81,5.42,0.12,26336541.00,11990597.00,45.53,114.55,
99.95,2.89,96.61,0.93,99.07,4851.10,1.94,0.62,1.98,0.51,1.61,0.50,112.46,0.00,193.15,0.98,0.06,0.00,0.17,0.02,5.72,1.00,487.16,6.23,0.75,4.81,0.66,0.26,0.02,0.04,0.20,5.90,0.72,4.72,0.46,37607719.00,19667910.00,52.30,113.65,
99.90,4.46,94.86,2.02,97.98,4876.37,1.56,0.70,1.60,0.64,1.42,0.62,90.69,0.00,165.20,0.55,0.05,0.00,0.04,0.02,6.87,0.26,642.31,5.71,0.24,2.98,2.47,0.70,0.03,0.09,0.58,4.89,0.23,2.77,1.89,79133292.00,49740955.00,62.86,112.46,
99.90,4.25,95.10,1.91,98.09,4876.29,1.57,0.70,1.61,0.64,1.43,0.62,91.16,0.00,163.91,0.51,0.06,0.00,0.04,0.02,6.54,0.25,641.66,5.29,0.23,2.75,2.30,0.61,0.02,0.08,0.51,4.57,0.21,2.57,1.79,71207285.00,43971988.00,61.75,111.75,
99.93,1.35,98.10,0.57,99.43,4869.30,1.62,0.67,1.63,0.62,1.49,0.61,93.81,0.00,144.79,0.17,0.81,0.00,0.04,0.01,2.41,0.10,654.65,3.03,0.10,1.55,1.39,0.94,0.02,0.03,0.89,2.07,0.07,1.49,0.51,95389427.00,83218152.00,87.24,108.71,
