
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-84-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../Adaboost/AMDS_IC_micro_performance_adaboost.csv -- ../Adaboost/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/10/25 17:28:56:947
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.75,50.18,1.54,97.95,2.05,3744.94,0.30,0.30,0.20,3.37,3.34,4.90,0.96,0.00,220.97,29.98,0.00,0.00,0.10,0.60,448.88,43.04,493.20,84.39,46.30,27.95,8.01,4.86,0.96,2.49,1.40,79.18,50.08,22.43,6.61,16519550.00,3450578.00,20.89,1115.10,0.56,0.34,0.22,
1.70,50.51,2.00,94.48,5.52,3743.94,0.31,0.30,0.45,3.25,3.31,2.24,0.98,0.00,220.56,30.32,0.00,0.00,0.10,0.60,446.78,42.59,492.38,92.09,51.06,23.33,11.65,4.42,0.75,1.46,2.21,80.82,49.70,21.62,9.44,12270050.00,3428649.00,27.94,936.72,0.60,0.39,0.21,
1.66,51.43,0.04,99.77,0.23,3745.15,0.30,0.30,1.04,3.30,3.30,0.96,0.93,0.00,221.28,30.25,0.00,0.00,0.10,0.60,435.83,42.14,485.85,82.64,44.98,20.72,7.67,3.61,0.50,2.10,1.02,78.73,49.81,22.21,6.66,15655290.00,3388548.00,21.64,982.84,0.55,0.34,0.21,
1.69,50.29,2.22,97.92,2.08,3743.77,0.30,0.31,0.15,3.32,3.25,6.74,0.96,0.00,220.68,30.17,0.00,0.00,0.10,0.60,447.50,42.85,492.04,80.08,51.00,23.51,7.26,3.11,0.73,1.26,1.13,77.88,49.72,21.97,6.13,12215613.00,3111895.00,25.47,988.94,0.53,0.32,0.21,
1.70,52.07,0.38,98.98,1.02,3744.61,0.31,0.31,0.44,3.23,3.24,2.29,0.99,0.00,221.33,29.89,0.00,0.00,0.10,0.60,444.78,42.47,491.49,80.62,51.44,23.93,7.16,3.71,0.68,2.05,0.99,77.47,49.49,21.77,6.16,12711255.00,3111070.00,24.47,959.05,0.58,0.37,0.21,
1.73,51.36,1.95,97.66,2.34,3743.33,0.30,0.30,0.19,3.38,3.33,5.28,0.98,0.00,224.21,27.85,0.00,0.00,0.10,0.60,443.55,43.17,490.56,82.32,52.39,23.64,8.38,8.33,1.11,5.66,1.56,77.48,49.02,21.58,6.82,13844878.00,3146656.00,22.73,942.86,0.54,0.33,0.21,
1.64,50.67,0.05,99.71,0.29,3745.27,0.31,0.31,0.87,3.23,3.23,1.15,0.93,0.00,220.45,30.06,0.00,0.00,0.10,0.60,441.43,42.29,489.55,85.49,52.05,23.82,11.06,6.07,0.63,2.28,3.16,78.61,48.93,21.73,7.90,12354707.00,3209711.00,25.98,869.83,0.56,0.34,0.21,
1.68,51.81,0.00,100.00,0.00,3744.95,0.34,0.34,0.00,2.90,2.90,0.00,1.08,0.00,221.27,30.08,0.00,0.00,0.10,0.60,432.40,41.39,486.67,82.80,50.62,24.43,7.62,5.17,0.76,3.05,1.37,75.32,47.79,21.22,6.26,15093758.00,3237937.00,21.45,918.63,0.55,0.33,0.21,
1.67,50.62,0.91,95.62,4.38,3745.13,0.31,0.30,0.77,3.21,3.30,1.29,0.96,0.00,222.20,29.38,0.00,0.00,0.10,0.59,426.63,41.33,483.30,80.78,51.18,23.31,6.94,8.29,0.84,6.59,0.86,76.96,48.56,22.26,6.08,12489619.00,3041204.00,24.35,954.77,0.57,0.36,0.21,
1.64,51.03,0.06,99.89,0.11,3744.97,0.31,0.31,0.28,3.26,3.26,3.58,0.93,0.00,221.30,30.06,0.00,0.00,0.09,0.60,446.81,42.13,490.90,83.52,51.66,24.12,7.85,10.18,1.68,7.28,1.21,74.18,46.32,21.17,6.64,12851768.00,3313964.00,25.79,920.50,0.56,0.35,0.21,
