AMDuProfPcm Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processor Name:,AMD EPYC 7473X 24-Core Processor               ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
System:,Family(0x19) Model(0x1) Stepping(0x2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating System:,Linux 6.8.0-84-generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Sockets :,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Core Complexes(CCX) :,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Cores :,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Threads :,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMT Enabled in HW:,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMT Enabled by OS :,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPU Topology:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Socket, CCX, Core(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0, 0 1 2 48 49 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1, 3 4 5 51 52 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2, 6 7 8 54 55 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3, 9 10 11 57 58 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4, 12 13 14 60 61 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5, 15 16 17 63 64 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6, 18 19 20 66 67 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7, 21 22 23 69 70 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8, 24 25 26 72 73 74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9, 27 28 29 75 76 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10, 30 31 32 78 79 80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11, 33 34 35 81 82 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12, 36 37 38 84 85 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13, 39 40 41 87 88 89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14, 42 43 44 90 91 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15, 45 46 47 93 94 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core P0 state frequency (MHz):,2801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiplex interval for core (ms):,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiplex interval for l3 (ms):,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multiplex interval for df (ms):,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample interval (ms):,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection Driver:,Linux Perf Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMI Watchdog Enabled:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,5.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypervisor Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypervisor Enabled:,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../RF/AMDS_IC_micro_performance_rf.csv -- ../RF/server",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviation :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPC    : Instructions Per CPU Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPI    : CPU Cycles Per Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pti    : Per Thousand Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ptc    : Per Thousand CPU Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profile Time: 2025/10/25 17:36:04:229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s)
1.81,51.52,2.22,98.23,1.77,3748.21,0.32,0.33,0.14,3.12,3.05,7.27,1.12,0,222.74,29.44,0,0,0.1,0.6,445.61,46.57,492.97,93.75,51.57,27.14,12.46,7.71,1.58,3.66,2.47,81.78,49.16,22.59,9.99,18411707,4218896,22.91,1060.78,0.62,0.4,0.22
1.68,50.82,1.33,97.69,2.31,3746.41,0.32,0.32,0.29,3.17,3.16,3.48,1,0,219.53,29.73,0,0,0.09,0.59,436.17,40.38,474.65,77.86,48.94,23.25,7.19,4.5,1.61,1.63,1.26,75.79,48.67,21.15,5.93,12951860,3086102,23.83,916.64,0.59,0.38,0.21
1.66,51.39,0.09,99.99,0.01,3745.76,0.3,0.3,0.02,3.31,3.31,41.81,0.93,0,221.59,29.67,0,0,0.1,0.59,433.75,42.01,490.52,80.86,51.03,23.61,6.9,3.74,1.37,1.49,0.88,77.14,49.43,21.65,6.02,11760735,3034680,25.8,938.02,0.59,0.38,0.21
1.7,49.4,3.29,97.17,2.83,3746.52,0.3,0.31,0.13,3.36,3.24,7.44,0.96,0,223.31,28.28,0,0,0.1,0.6,437.43,41.66,487,93.76,48.16,32.34,12.45,7.87,1.83,3.42,2.62,81.57,49.75,21.95,9.83,17256051,3004416,17.41,965.96,0.58,0.37,0.21
1.65,50.57,0.53,99.33,0.67,3746.17,0.31,0.31,0.2,3.24,3.23,4.95,0.94,0,222.81,29.99,0,0,0.09,0.6,448.47,42.57,487.06,79.41,51.13,24.16,7.73,4.37,0.49,2.43,1.45,77.95,49.68,21.96,6.27,12230476,3116296,25.48,927.86,0.58,0.37,0.21
1.75,51.29,2.33,96.04,3.96,3744.93,0.31,0.31,0.28,3.25,3.24,3.56,1.04,0,225.5,27.8,0,0,0.09,0.59,448.21,41.75,486.26,86.04,49.81,23.51,8.7,3.81,0.81,1.39,1.62,79.21,50.25,21.84,7.08,13591217,3287538,24.19,932.45,0.58,0.37,0.21
1.69,49.89,2.02,98.33,1.67,3745.56,0.3,0.31,0.13,3.31,3.24,7.73,0.95,0,224.38,28.89,0,0,0.1,0.6,444.22,44.32,488.91,93.12,49.9,31.75,12.2,14.19,0.57,11.22,2.4,72.66,42.04,20.78,9.81,17184621,3228820,18.79,907.66,0.62,0.41,0.21
1.68,51.7,0.19,99.57,0.43,3743.58,0.3,0.3,0.35,3.34,3.34,2.86,0.94,0,220.58,29.89,0,0,0.1,0.6,453.41,44.12,493.34,83.74,51.32,24.21,8.17,4.65,1.43,1.88,1.34,78.82,50.09,21.86,6.83,12797691,3227914,25.22,897.54,0.57,0.36,0.21
