
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../Adaboost/AMDS_IC_micro_performance_adaboost.csv -- ../Adaboost/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/11/05 17:08:46:016
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.73,47.82,0.03,99.68,0.32,3748.56,0.32,0.32,1.46,3.16,3.17,0.69,0.94,0.00,222.37,29.66,0.00,0.00,0.09,0.60,454.34,42.35,491.79,87.66,50.95,24.14,16.31,7.54,0.54,1.37,5.63,82.32,49.04,22.54,10.67,14684319.00,3021731.00,20.58,1157.45,0.52,0.30,0.22,
1.73,48.82,0.86,97.20,2.80,3744.91,0.32,0.31,0.51,3.17,3.21,1.95,0.98,0.00,221.84,30.31,0.00,0.00,0.09,0.60,454.59,42.00,492.23,81.51,49.15,23.67,7.32,3.75,0.71,1.90,1.14,78.08,49.86,21.99,6.17,13436099.00,2770082.00,20.62,917.36,0.56,0.34,0.22,
1.74,49.69,0.29,99.05,0.95,3744.14,0.31,0.31,0.52,3.21,3.22,1.93,0.97,0.00,221.50,30.55,0.00,0.00,0.09,0.57,443.22,37.79,490.06,73.56,50.39,25.41,7.46,3.18,0.55,1.23,1.40,74.74,47.32,21.30,6.06,12676282.00,2899152.00,22.87,962.87,0.54,0.33,0.21,
1.71,48.72,0.32,99.68,0.32,3744.90,0.31,0.31,0.15,3.22,3.21,6.66,0.94,0.00,221.15,30.49,0.00,0.00,0.09,0.60,451.95,41.49,492.60,82.34,47.92,23.16,8.00,2.99,0.33,1.20,1.46,77.84,49.09,22.15,6.54,12035521.00,2814234.00,23.38,943.77,0.55,0.34,0.21,
1.72,48.52,1.03,97.52,2.48,3743.77,0.32,0.31,0.38,3.17,3.19,2.66,0.96,0.00,221.61,29.77,0.00,0.00,0.09,0.60,451.09,42.19,488.35,82.54,50.90,23.31,7.70,4.06,0.64,2.25,1.17,76.29,48.03,21.68,6.53,14626658.00,2791031.00,19.08,874.69,0.57,0.36,0.21,
1.76,48.84,1.19,92.77,7.23,3748.04,0.33,0.31,0.99,3.06,3.22,1.01,1.03,0.00,221.32,30.24,0.00,0.00,0.09,0.57,426.98,36.90,462.95,81.41,41.26,28.61,7.15,9.59,0.60,8.00,0.99,67.99,41.39,20.39,6.16,13665770.00,2861695.00,20.94,899.66,0.54,0.33,0.21,
1.71,48.83,0.45,99.17,0.83,3745.55,0.31,0.31,0.28,3.22,3.21,3.57,0.94,0.00,221.14,30.27,0.00,0.00,0.09,0.60,451.17,41.65,492.12,80.59,50.92,23.43,6.82,4.05,0.94,2.17,0.94,76.72,48.40,22.39,5.88,12158151.00,2770509.00,22.79,877.26,0.57,0.35,0.21,
1.71,48.78,0.35,99.56,0.44,3745.32,0.31,0.31,0.19,3.21,3.20,5.32,0.94,0.00,221.20,30.25,0.00,0.00,0.09,0.60,451.26,42.11,491.78,80.54,50.31,23.57,6.79,3.26,0.65,1.71,0.89,76.71,48.71,22.05,5.90,11634554.00,2711068.00,23.30,962.73,0.56,0.34,0.21,
1.71,48.67,0.69,99.22,0.78,3743.33,0.31,0.31,0.17,3.23,3.21,5.74,0.94,0.00,221.34,30.35,0.00,0.00,0.09,0.59,440.18,40.37,488.92,81.98,49.51,23.91,7.19,2.97,0.62,1.29,1.06,75.86,48.19,21.48,6.13,13593535.00,2891582.00,21.27,859.34,0.56,0.34,0.21,
1.70,48.72,0.03,99.90,0.10,3745.32,0.31,0.31,0.56,3.21,3.21,1.80,0.93,0.00,223.17,27.95,0.00,0.00,0.09,0.59,424.93,38.97,489.50,81.77,50.25,23.80,7.12,3.40,0.77,1.62,1.02,77.53,49.32,22.05,6.10,13151675.00,2809568.00,21.36,870.42,0.56,0.34,0.21,
