
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../KMeans/AMDS_IC_micro_performance_kmeans.csv -- ../KMeans/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/11/05 17:18:57:977
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.77,48.24,0.09,99.03,0.97,3746.49,0.31,0.31,1.61,3.20,3.23,0.62,0.96,0.00,220.45,30.27,0.00,0.00,0.09,0.60,450.02,41.86,491.26,83.61,49.31,24.31,8.31,4.79,1.40,2.08,1.32,78.22,49.60,21.57,6.99,12689391.00,2818625.00,22.21,1193.50,0.52,0.30,0.22,
1.78,50.31,0.23,99.15,0.85,3743.85,0.35,0.35,0.67,2.83,2.84,1.48,1.14,0.00,220.75,30.19,0.00,0.00,0.09,0.60,445.01,42.06,488.58,81.18,51.34,23.79,7.35,2.83,0.34,1.37,1.12,79.10,50.70,22.11,6.23,13628498.00,2769573.00,20.32,1023.30,0.55,0.33,0.22,
1.72,48.45,0.30,99.49,0.51,3746.01,0.31,0.31,0.25,3.21,3.20,3.93,0.94,0.00,220.74,30.29,0.00,0.00,0.09,0.59,425.40,39.97,481.37,80.88,51.70,24.33,7.14,3.89,0.60,2.24,1.04,74.60,47.58,20.86,6.10,12432256.00,2789425.00,22.44,895.10,0.54,0.33,0.21,
1.72,48.77,0.25,99.55,0.45,3746.25,0.31,0.31,0.28,3.20,3.20,3.56,0.95,0.00,221.20,30.21,0.00,0.00,0.09,0.60,449.15,42.01,491.28,81.93,47.93,22.45,7.59,3.15,0.53,1.44,1.18,77.91,49.58,21.88,6.40,12424562.00,2791389.00,22.47,857.45,0.55,0.34,0.21,
1.76,48.77,0.93,99.08,0.92,3745.24,0.34,0.34,0.17,2.98,2.95,6.04,1.06,0.00,221.01,30.36,0.00,0.00,0.09,0.60,449.43,42.11,490.22,77.84,51.37,24.13,8.01,3.58,0.49,1.41,1.68,78.60,50.18,22.04,6.33,13203910.00,2975141.00,22.53,862.10,0.55,0.34,0.21,
1.84,50.24,1.03,94.26,5.74,3746.70,0.34,0.33,0.98,2.93,3.05,1.02,1.15,0.00,219.95,29.98,0.00,0.00,0.10,0.60,449.98,43.23,490.84,82.31,51.18,24.31,7.43,2.60,0.31,1.24,1.05,78.13,49.65,22.04,6.38,12370366.00,2787027.00,22.53,880.08,0.54,0.33,0.21,
1.73,48.59,0.40,99.29,0.71,3745.96,0.31,0.31,0.28,3.21,3.21,3.64,0.95,0.00,220.67,30.34,0.00,0.00,0.09,0.60,452.74,42.25,491.32,81.36,51.16,23.91,7.48,4.14,0.53,2.51,1.10,78.02,49.50,22.08,6.37,15468277.00,3145621.00,20.34,817.69,0.56,0.34,0.21,
1.73,48.58,0.60,98.94,1.06,3745.09,0.31,0.31,0.27,3.24,3.23,3.74,0.94,0.00,227.56,28.11,0.00,0.00,0.09,0.59,435.33,41.29,485.96,81.39,50.56,23.80,7.37,3.12,0.67,1.44,1.01,78.50,50.16,21.93,6.36,12719877.00,2844708.00,22.36,892.24,0.55,0.34,0.22,
1.71,48.67,0.04,99.61,0.39,3745.54,0.31,0.31,1.31,3.21,3.22,0.76,0.93,0.00,220.67,30.36,0.00,0.00,0.09,0.60,450.48,42.52,490.92,80.44,50.99,23.52,7.12,3.61,0.69,1.94,0.99,72.52,46.18,20.17,6.13,11237675.00,2655674.00,23.63,927.32,0.55,0.34,0.21,
1.72,48.47,0.04,99.86,0.14,3746.05,0.31,0.31,0.56,3.23,3.23,1.79,0.93,0.00,220.84,30.28,0.00,0.00,0.09,0.58,418.05,39.67,484.98,83.24,50.72,23.58,7.86,3.69,0.40,2.17,1.13,78.86,49.27,22.81,6.73,11982875.00,2817807.00,23.52,857.77,0.56,0.35,0.21,
1.74,48.33,1.34,94.02,5.98,3739.82,0.32,0.31,0.71,3.09,3.20,1.40,1.00,0.00,221.04,29.78,0.00,0.00,0.09,0.60,451.26,42.02,491.92,79.78,50.94,25.93,7.89,10.21,1.44,7.30,1.47,67.33,41.65,19.21,6.43,14139858.00,2908597.00,20.57,872.34,0.55,0.34,0.21,
1.74,49.11,0.40,97.86,2.14,3745.22,0.32,0.31,0.83,3.17,3.21,1.20,0.98,0.00,221.51,29.97,0.00,0.00,0.09,0.60,449.93,42.39,490.10,80.98,50.95,24.94,7.30,3.50,0.92,1.50,1.08,78.29,50.13,21.88,6.22,14573945.00,3051555.00,20.94,847.77,0.56,0.35,0.21,
1.75,49.82,0.04,99.65,0.35,3745.54,0.36,0.36,1.42,2.80,2.81,0.70,1.12,0.00,220.67,30.14,0.00,0.00,0.09,0.60,443.87,41.60,488.65,81.49,51.23,23.72,7.48,5.43,0.87,3.44,1.12,76.29,47.94,21.93,6.36,13880028.00,3044660.00,21.94,819.93,0.56,0.34,0.21,
