
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../KernelSVM/AMDS_IC_micro_performance_ksvm.csv -- ../KernelSVM/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/11/05 16:42:24:316
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.76,47.86,0.46,99.08,0.92,3748.24,0.31,0.31,0.30,3.25,3.25,3.35,0.94,0.00,220.80,30.26,0.00,0.00,0.09,0.60,449.33,42.54,491.73,80.68,51.90,25.15,7.83,3.97,0.93,1.86,1.18,79.25,50.37,22.17,6.65,13773879.00,3242325.00,23.54,1182.98,0.55,0.32,0.23,
1.74,49.67,0.03,99.80,0.20,3743.63,0.30,0.30,1.12,3.29,3.30,0.89,0.95,0.00,220.97,30.06,0.00,0.00,0.10,0.59,430.32,40.91,483.65,77.65,50.64,24.71,7.35,4.94,1.12,2.57,1.25,77.87,49.82,21.90,6.10,13506586.00,2749630.00,20.36,896.70,0.54,0.33,0.21,
1.73,49.21,0.02,99.78,0.22,3744.21,0.30,0.30,1.41,3.30,3.31,0.71,0.93,0.00,221.07,30.29,0.00,0.00,0.09,0.58,427.70,37.88,463.30,80.06,41.77,28.24,7.14,8.18,0.75,6.32,1.12,73.36,45.71,21.57,6.02,12326845.00,2728037.00,22.13,903.78,0.57,0.35,0.21,
1.73,49.44,0.02,99.81,0.19,3742.94,0.30,0.30,1.25,3.31,3.31,0.80,0.93,0.00,220.54,30.28,0.00,0.00,0.10,0.59,424.45,40.80,479.68,79.33,49.29,23.76,6.94,2.78,0.43,1.34,1.02,77.85,50.02,21.85,5.93,13132608.00,2653615.00,20.21,886.88,0.55,0.34,0.21,
1.74,49.40,0.07,99.90,0.10,3741.39,0.31,0.31,0.21,3.22,3.22,4.78,0.96,0.00,221.46,30.07,0.00,0.00,0.10,0.60,440.87,42.47,490.33,78.85,51.06,23.61,7.09,3.11,0.59,1.48,1.05,78.57,50.59,21.88,6.04,13043500.00,2907857.00,22.29,917.01,0.55,0.34,0.21,
1.77,49.45,0.32,98.97,1.03,3746.21,0.31,0.30,0.49,3.28,3.29,2.05,0.97,0.00,220.61,30.19,0.00,0.00,0.09,0.60,448.41,42.51,490.73,81.08,50.96,24.48,7.48,3.68,0.75,1.68,1.25,78.00,49.89,21.82,6.23,11280402.00,2766249.00,24.52,931.07,0.56,0.34,0.21,
1.72,49.07,0.22,99.83,0.17,3743.26,0.30,0.30,0.12,3.29,3.28,8.51,0.93,0.00,220.78,30.32,0.00,0.00,0.09,0.60,450.08,42.55,491.11,80.00,50.22,23.58,7.47,3.83,0.61,2.11,1.12,75.88,48.27,21.20,6.35,12314656.00,2786607.00,22.63,839.26,0.58,0.36,0.21,
1.74,48.86,0.92,97.22,2.78,3743.14,0.31,0.30,0.46,3.26,3.29,2.17,0.96,0.00,225.51,28.41,0.00,0.00,0.09,0.59,436.40,41.38,485.64,78.88,48.69,24.29,9.58,5.29,0.63,1.48,3.18,79.17,50.73,21.99,6.40,13910553.00,2992217.00,21.51,879.91,0.57,0.36,0.21,
1.73,49.27,0.01,99.90,0.10,3743.60,0.30,0.30,1.16,3.30,3.31,0.86,0.92,0.00,220.81,30.29,0.00,0.00,0.08,0.56,414.54,35.08,460.36,78.56,50.72,23.54,6.91,4.51,0.94,2.65,0.92,75.02,47.81,21.17,5.99,11856807.00,2753471.00,23.22,856.97,0.58,0.37,0.21,
1.70,48.71,0.01,99.99,0.01,3743.58,0.30,0.30,0.13,3.28,3.28,7.77,0.91,0.00,224.38,28.60,0.00,0.00,0.09,0.60,451.87,41.60,490.58,79.12,50.89,25.01,7.35,3.22,0.42,1.61,1.19,78.19,49.94,22.03,6.16,11590467.00,2801090.00,24.17,860.02,0.57,0.36,0.21,
1.73,49.43,0.08,99.48,0.52,3739.51,0.30,0.30,1.03,3.31,3.32,0.97,0.93,0.00,220.30,29.56,0.00,0.00,0.09,0.60,451.23,42.85,491.81,79.45,51.36,23.66,9.03,3.73,0.64,1.36,1.73,79.36,50.04,21.96,7.31,12012192.00,2974890.00,24.77,1277.13,0.57,0.36,0.21,
1.72,48.74,0.45,99.10,0.90,3744.81,0.31,0.31,0.31,3.26,3.26,3.27,0.93,0.00,221.85,28.63,0.00,0.00,0.10,0.61,450.94,42.87,491.71,80.25,50.65,24.14,7.64,3.18,0.56,1.43,1.20,79.28,50.77,22.01,6.45,13732668.00,2923284.00,21.29,840.76,0.57,0.36,0.21,
