
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../Linear_Regression/AMDS_IC_micro_performance_linear.csv -- ../Linear_Regression/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/11/05 17:38:42:431
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.83,49.86,0.10,98.52,1.48,3746.63,0.36,0.35,2.70,2.81,2.85,0.37,1.17,0.00,224.70,28.55,0.00,0.00,0.09,0.61,455.93,42.66,491.99,82.61,50.98,24.25,7.84,3.02,0.45,1.38,1.19,79.14,49.96,22.47,6.65,13270871.00,3127856.00,23.57,1085.92,0.52,0.30,0.22,
1.72,48.92,0.05,99.51,0.49,3745.97,0.31,0.31,1.58,3.22,3.23,0.63,0.94,0.00,221.02,30.42,0.00,0.00,0.08,0.56,421.36,35.27,448.03,81.97,51.02,24.14,7.26,4.39,0.84,2.45,1.10,74.12,47.00,20.90,6.15,12394842.00,2850838.00,23.00,935.24,0.58,0.36,0.21,
1.69,48.58,0.00,100.00,0.00,3745.57,0.31,0.31,0.00,3.21,3.21,0.00,0.92,0.00,221.15,30.24,0.00,0.00,0.09,0.61,459.20,43.43,490.28,82.60,51.11,23.71,7.79,3.67,0.64,1.67,1.36,76.90,48.40,22.01,6.43,11520661.00,2699716.00,23.43,889.73,0.56,0.35,0.22,
1.75,48.23,2.07,92.19,7.81,3744.50,0.32,0.31,0.61,3.11,3.23,1.64,1.02,0.00,220.86,30.01,0.00,0.00,0.09,0.61,455.97,42.57,492.84,82.02,49.09,23.22,7.34,3.40,0.63,1.68,1.09,77.82,49.35,22.16,6.25,12308692.00,2893183.00,23.51,866.33,0.56,0.34,0.21,
1.72,49.01,0.11,99.36,0.64,3746.15,0.31,0.31,0.86,3.20,3.21,1.16,0.95,0.00,220.83,30.42,0.00,0.00,0.09,0.60,452.57,42.11,492.24,82.65,51.61,24.16,7.56,10.07,0.71,8.18,1.19,66.93,40.50,20.00,6.38,13382687.00,2910060.00,21.74,931.54,0.56,0.35,0.21,
1.83,50.54,1.34,93.89,6.11,3746.46,0.36,0.35,0.85,2.79,2.90,1.18,1.22,0.00,221.28,30.25,0.00,0.00,0.09,0.59,432.56,40.74,481.53,83.17,50.46,25.14,7.64,3.56,0.83,1.50,1.22,77.62,49.04,22.10,6.42,14191762.00,2814239.00,19.83,845.88,0.56,0.34,0.21,
1.73,49.29,0.16,98.54,1.46,3743.64,0.31,0.31,1.41,3.18,3.21,0.71,0.96,0.00,221.83,29.48,0.00,0.00,0.09,0.60,451.76,41.87,490.69,82.03,50.58,23.68,7.32,5.04,1.75,2.22,1.07,77.52,49.27,21.94,6.25,12082055.00,2756154.00,22.81,856.23,0.56,0.35,0.21,
1.71,48.94,0.21,99.79,0.21,3745.09,0.31,0.31,0.15,3.24,3.23,6.80,0.93,0.00,220.83,29.88,0.00,0.00,0.09,0.61,455.21,42.36,491.69,81.31,50.99,23.88,7.21,3.21,0.46,1.78,0.97,75.61,47.51,21.80,6.25,13564013.00,3024235.00,22.30,811.43,0.57,0.36,0.21,
1.77,50.26,0.69,96.65,3.35,3744.55,0.34,0.34,0.85,2.90,2.96,1.18,1.12,0.00,231.10,31.44,0.00,0.00,0.09,0.60,456.78,41.43,491.56,83.23,50.61,26.37,7.73,4.10,0.93,2.00,1.16,75.65,47.64,21.39,6.57,12005379.00,2943502.00,24.52,895.07,0.57,0.36,0.21,
1.70,48.66,0.28,99.82,0.18,3745.25,0.31,0.31,0.10,3.24,3.23,10.32,0.93,0.00,220.72,30.37,0.00,0.00,0.09,0.60,455.32,41.97,491.46,81.71,48.02,23.70,7.38,3.39,0.78,1.40,1.21,76.59,48.49,21.87,6.17,11691164.00,2812243.00,24.05,896.68,0.58,0.36,0.21,
