
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../Logistic_Regression/AMDS_IC_micro_performance_lr.csv -- ../Logistic_Regression/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/11/05 17:33:11:609
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.76,47.68,0.78,99.16,0.84,3748.04,0.31,0.31,0.16,3.22,3.19,6.22,0.95,0.00,221.11,30.23,0.00,0.00,0.09,0.61,453.27,42.73,491.08,82.13,51.14,24.78,7.07,2.74,0.65,1.25,0.83,79.13,50.34,22.50,6.24,12646383.00,2486942.00,19.67,1201.02,0.49,0.27,0.22,
1.73,49.10,0.72,99.38,0.62,3744.43,0.34,0.34,0.14,2.96,2.94,6.91,1.05,0.00,220.91,30.25,0.00,0.00,0.09,0.61,452.41,42.68,490.96,84.06,51.12,25.54,7.86,4.37,0.76,2.47,1.15,79.68,50.27,22.65,6.71,11860339.00,2574501.00,21.71,939.35,0.57,0.36,0.21,
1.80,46.70,4.71,71.46,28.54,3745.58,0.40,0.31,1.24,2.52,3.20,0.81,1.32,0.00,226.77,25.09,0.00,0.00,0.10,0.50,305.59,29.68,429.36,71.84,38.96,20.88,8.44,7.32,1.08,4.41,1.82,64.29,36.22,21.42,6.61,17866601.00,2600206.00,14.55,907.34,0.54,0.33,0.21,
1.71,48.87,0.02,99.89,0.11,3745.39,0.31,0.31,1.01,3.24,3.25,0.99,0.92,0.00,220.89,30.14,0.00,0.00,0.09,0.60,451.89,42.73,488.90,84.89,46.50,29.63,8.03,5.73,0.71,3.83,1.18,83.39,49.23,27.27,6.85,13156895.00,2720871.00,20.68,924.49,0.56,0.35,0.21,
1.70,48.42,0.01,99.99,0.01,3746.21,0.31,0.31,0.18,3.20,3.20,5.46,0.93,0.00,221.58,29.15,0.00,0.00,0.10,0.60,446.99,42.97,488.04,82.54,51.87,23.66,7.00,2.71,0.61,1.21,0.89,78.77,50.43,22.18,6.11,12765922.00,2697969.00,21.13,881.25,0.55,0.33,0.21,
1.78,48.46,2.04,86.85,13.15,3747.30,0.34,0.30,1.09,2.98,3.29,0.91,1.08,0.00,223.99,29.37,0.00,0.00,0.09,0.60,438.38,41.43,486.84,82.65,52.86,23.78,7.30,3.16,0.66,1.50,0.99,79.72,51.46,21.91,6.30,13570108.00,2898778.00,21.36,851.54,0.54,0.33,0.21,
1.72,49.25,0.06,99.46,0.54,3745.33,0.31,0.31,1.27,3.24,3.26,0.79,0.94,0.00,222.35,29.93,0.00,0.00,0.09,0.60,451.29,42.66,490.51,82.35,51.67,24.82,7.39,3.66,0.73,1.85,1.07,77.01,49.14,21.50,6.32,13484637.00,2803833.00,20.79,898.21,0.57,0.35,0.21,
1.74,49.42,0.67,96.75,3.25,3743.70,0.31,0.30,0.75,3.25,3.31,1.33,0.97,0.00,221.02,29.81,0.00,0.00,0.10,0.60,450.79,43.19,489.36,83.26,51.93,23.68,7.65,4.79,0.85,2.80,1.14,80.09,50.12,23.41,6.51,12898516.00,2986530.00,23.15,947.15,0.56,0.35,0.21,
1.76,49.07,1.16,93.32,6.68,3745.10,0.32,0.30,0.92,3.16,3.31,1.09,1.00,0.00,224.27,30.08,0.00,0.00,0.09,0.60,452.93,41.41,489.46,85.81,51.66,23.68,8.35,5.08,1.31,2.47,1.30,70.65,44.06,19.49,7.06,12382741.00,2799126.00,22.61,960.63,0.57,0.36,0.21,
1.74,49.34,0.37,99.57,0.43,3744.37,0.30,0.30,0.17,3.30,3.29,5.82,0.94,0.00,221.37,30.20,0.00,0.00,0.09,0.60,453.08,42.32,490.91,82.25,50.51,30.62,7.16,2.99,0.78,1.27,0.94,79.33,50.92,22.15,6.22,12703101.00,2740190.00,21.57,883.75,0.56,0.34,0.21,
