
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../LSVM/AMDS_IC_micro_performance_lsvm.csv -- ../LSVM/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/11/05 16:56:38:899
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.88,51.23,0.02,99.93,0.07,3748.36,0.39,0.39,0.79,2.58,2.59,1.26,1.34,0.00,220.76,30.28,0.00,0.00,0.09,0.61,458.17,43.01,491.68,80.00,51.72,24.25,9.18,6.66,0.68,2.91,3.07,74.56,46.66,21.75,6.11,12509799.00,2973377.00,23.77,1320.74,0.57,0.35,0.22,
1.73,49.33,0.61,97.19,2.81,3746.36,0.31,0.31,0.72,3.22,3.27,1.39,0.97,0.00,222.01,30.01,0.00,0.00,0.10,0.58,419.63,40.30,475.17,86.36,51.74,23.94,8.16,3.82,1.00,1.66,1.16,79.07,50.32,21.71,7.00,15044474.00,2818509.00,18.73,939.93,0.55,0.34,0.21,
1.72,49.46,0.03,99.90,0.10,3746.27,0.30,0.30,0.47,3.31,3.31,2.12,0.93,0.00,221.05,30.20,0.00,0.00,0.09,0.61,456.46,43.01,491.46,80.96,52.39,23.85,7.29,4.40,1.03,2.20,1.17,77.24,49.68,21.41,6.11,12560656.00,2825103.00,22.49,933.92,0.55,0.34,0.21,
1.72,49.54,0.03,99.71,0.29,3745.63,0.31,0.30,1.33,3.27,3.28,0.75,0.94,0.00,221.80,30.22,0.00,0.00,0.09,0.60,454.77,42.85,489.18,91.67,46.57,31.14,9.98,6.07,0.71,3.75,1.61,83.57,48.49,26.67,8.37,14258364.00,2991676.00,20.98,854.38,0.56,0.35,0.22,
1.75,49.51,0.84,99.10,0.90,3744.80,0.30,0.31,0.16,3.29,3.27,6.10,0.96,0.00,224.46,26.90,0.00,0.00,0.09,0.60,454.47,42.78,490.76,82.34,51.46,23.72,7.29,4.91,0.66,3.14,1.11,79.24,50.18,22.83,6.18,14159185.00,2907565.00,20.53,932.96,0.59,0.37,0.21,
1.78,49.75,0.55,93.16,6.84,3752.68,0.31,0.30,1.98,3.18,3.37,0.50,1.01,0.00,221.38,29.74,0.00,0.00,0.08,0.56,421.75,35.78,449.38,84.45,52.42,23.78,7.50,3.28,0.58,1.48,1.21,79.22,51.14,21.75,6.29,13985041.00,2916429.00,20.85,897.60,0.55,0.34,0.21,
1.74,49.24,0.54,99.50,0.50,3746.81,0.30,0.30,0.14,3.34,3.32,7.24,0.93,0.00,220.77,30.35,0.00,0.00,0.09,0.60,450.79,42.24,488.87,81.98,51.13,24.09,7.42,14.05,5.65,7.30,1.10,69.26,42.43,20.48,6.32,15099820.00,3400815.00,22.52,863.59,0.58,0.37,0.21,
1.72,49.40,0.02,99.88,0.12,3746.84,0.30,0.30,1.06,3.34,3.34,0.94,0.92,0.00,222.57,29.73,0.00,0.00,0.09,0.60,455.18,42.20,490.65,82.05,51.60,23.82,7.07,2.87,0.48,1.41,0.98,79.01,50.86,22.02,6.09,12958776.00,2853352.00,22.02,910.83,0.56,0.35,0.21,
1.74,49.17,0.76,99.47,0.53,3745.65,0.30,0.30,0.11,3.34,3.30,9.52,0.93,0.00,221.07,30.36,0.00,0.00,0.09,0.60,454.74,42.51,490.25,82.76,47.96,23.40,7.55,4.99,1.70,2.11,1.19,73.10,47.13,19.57,6.36,12207913.00,2967276.00,24.31,853.13,0.56,0.35,0.21,
1.75,49.70,0.08,99.80,0.20,3745.48,0.30,0.30,0.36,3.36,3.36,2.81,0.93,0.00,220.86,30.18,0.00,0.00,0.09,0.60,456.16,42.16,487.83,81.60,51.86,23.61,7.14,2.77,0.39,1.37,1.02,78.80,51.05,21.58,6.13,11858663.00,3150278.00,26.57,902.32,0.57,0.36,0.21,
1.76,49.97,0.19,99.40,0.60,3740.04,0.30,0.30,0.48,3.37,3.37,2.08,0.94,0.00,221.22,30.23,0.00,0.00,0.09,0.61,456.78,42.34,492.37,82.00,50.83,23.79,7.25,3.10,0.57,1.44,1.09,78.90,50.88,21.82,6.16,13018892.00,2973728.00,22.84,907.40,0.57,0.36,0.21,
1.73,49.58,0.03,99.81,0.19,3747.56,0.30,0.30,1.11,3.34,3.35,0.90,0.92,0.00,221.32,30.52,0.00,0.00,0.09,0.61,458.55,42.56,492.00,80.88,51.45,23.81,10.24,6.43,0.52,2.25,3.66,78.74,50.24,21.87,6.58,12689214.00,3122631.00,24.61,827.00,0.58,0.37,0.21,
1.73,49.64,0.04,99.87,0.13,3745.23,0.30,0.30,0.52,3.37,3.37,1.94,0.92,0.00,221.22,30.43,0.00,0.00,0.09,0.61,458.73,42.56,491.89,81.77,51.26,24.43,7.05,2.63,0.33,1.34,0.96,79.21,51.05,22.02,6.09,13358110.00,3130543.00,23.44,868.59,0.57,0.35,0.21,
1.75,49.99,0.46,99.05,0.95,3745.29,0.29,0.29,0.31,3.41,3.41,3.24,0.93,0.00,221.13,30.38,0.00,0.00,0.09,0.60,459.05,43.02,491.41,81.85,51.34,24.26,8.06,4.89,1.12,2.37,1.39,77.15,49.31,21.13,6.67,13156472.00,3105760.00,23.61,886.41,0.59,0.38,0.21,
1.72,49.45,0.01,99.90,0.10,3745.36,0.30,0.30,1.14,3.33,3.33,0.88,0.92,0.00,221.10,30.44,0.00,0.00,0.09,0.58,430.28,38.70,472.99,81.76,51.44,23.26,7.15,3.32,0.79,1.53,1.00,78.91,50.83,21.88,6.16,11574835.00,2872794.00,24.82,871.12,0.55,0.33,0.21,
1.74,49.85,0.05,99.84,0.16,3745.81,0.30,0.30,0.52,3.38,3.38,1.93,0.93,0.00,218.96,27.59,0.00,0.00,0.09,0.61,459.77,42.94,492.12,83.88,52.33,23.79,8.24,3.74,0.59,1.79,1.36,79.56,50.58,22.06,6.89,13154256.00,3225134.00,24.52,848.86,0.58,0.36,0.21,
1.74,49.91,0.04,99.60,0.40,3744.77,0.30,0.30,1.47,3.36,3.37,0.68,0.93,0.00,228.11,28.76,0.00,0.00,0.08,0.56,418.89,35.31,448.58,81.98,51.93,23.67,7.36,3.18,0.49,1.54,1.15,79.35,51.19,21.91,6.21,12313860.00,2961657.00,24.05,925.30,0.58,0.37,0.21,
1.74,49.43,0.51,98.54,1.46,3746.90,0.30,0.30,0.43,3.32,3.34,2.34,0.94,0.00,221.03,30.38,0.00,0.00,0.09,0.60,456.87,42.82,490.78,83.93,51.25,23.89,8.55,14.51,5.64,7.17,1.70,70.04,42.74,20.42,6.85,15470716.00,3358163.00,21.71,820.11,0.57,0.35,0.21,
1.73,49.41,0.04,99.88,0.12,3746.90,0.30,0.30,0.50,3.34,3.34,1.99,0.92,0.00,221.08,30.43,0.00,0.00,0.09,0.61,457.55,42.32,491.33,82.89,51.54,23.83,7.39,3.27,0.58,1.55,1.14,79.00,50.74,21.98,6.25,13656361.00,3254833.00,23.83,899.81,0.57,0.35,0.22,
1.73,49.72,0.05,99.48,0.52,3746.02,0.30,0.30,1.66,3.32,3.33,0.60,0.93,0.00,221.56,30.32,0.00,0.00,0.09,0.61,457.43,42.55,491.47,78.54,51.13,23.78,7.67,3.85,0.88,1.61,1.35,79.10,50.79,21.96,6.31,12659910.00,3162465.00,24.98,852.21,0.57,0.36,0.21,
1.72,49.64,0.04,99.56,0.44,3743.66,0.30,0.30,1.64,3.31,3.33,0.61,0.93,0.00,224.20,29.71,0.00,0.00,0.09,0.60,456.88,42.93,491.03,82.17,51.93,23.55,7.21,4.26,0.72,2.52,1.02,74.45,47.60,20.62,6.19,11958008.00,2848764.00,23.82,849.04,0.55,0.34,0.21,
1.74,49.86,0.01,99.90,0.10,3746.65,0.30,0.30,1.08,3.38,3.38,0.93,0.93,0.00,220.91,30.31,0.00,0.00,0.09,0.60,455.01,42.63,490.82,82.73,51.80,23.86,7.34,3.83,1.01,1.63,1.19,78.78,50.80,21.78,6.16,13609916.00,3037131.00,22.32,898.11,0.57,0.35,0.21,
1.72,49.37,0.00,100.00,0.00,3746.31,0.30,0.30,0.00,3.32,3.32,0.00,0.92,0.00,221.00,30.40,0.00,0.00,0.09,0.61,457.89,42.75,491.37,87.19,48.06,24.26,16.03,7.86,0.55,1.92,5.39,83.86,51.19,21.98,10.64,13023619.00,3048977.00,23.41,893.04,0.57,0.36,0.21,
1.72,49.22,0.06,99.68,0.32,3745.98,0.30,0.30,0.77,3.30,3.30,1.30,0.92,0.00,221.04,30.40,0.00,0.00,0.09,0.61,455.74,42.55,490.85,83.17,49.96,27.21,7.84,6.28,1.31,3.73,1.24,78.44,49.03,22.77,6.60,14510526.00,3185139.00,21.95,836.58,0.57,0.35,0.22,
1.75,49.52,0.44,97.74,2.26,3746.50,0.30,0.30,0.78,3.28,3.33,1.27,0.95,0.00,220.98,30.37,0.00,0.00,0.09,0.61,456.10,43.17,491.49,73.63,48.66,22.53,8.46,4.74,0.99,2.09,1.66,79.24,50.54,21.86,6.80,13073478.00,3174665.00,24.28,878.75,0.56,0.35,0.21,
1.72,49.20,0.00,100.00,0.00,3746.53,0.30,0.30,0.00,3.30,3.30,0.00,0.92,0.00,221.30,30.34,0.00,0.00,0.10,0.59,424.79,41.07,486.51,82.58,51.38,24.08,8.23,3.38,0.48,1.46,1.44,79.91,51.19,21.88,6.79,12977104.00,3123302.00,24.07,878.06,0.58,0.36,0.21,
1.78,50.41,0.22,99.19,0.81,3747.02,0.30,0.30,0.57,3.34,3.35,1.75,0.97,0.00,221.61,30.38,0.00,0.00,0.09,0.59,434.25,40.36,482.74,82.33,51.49,23.29,7.21,8.00,3.16,3.76,1.08,72.64,45.71,20.76,6.13,12331485.00,3064827.00,24.85,824.08,0.56,0.35,0.21,
1.74,49.58,0.02,99.88,0.12,3747.82,0.30,0.30,1.13,3.34,3.34,0.89,0.93,0.00,220.82,30.34,0.00,0.00,0.09,0.56,414.82,35.76,447.25,82.55,51.79,23.63,7.28,10.67,0.64,8.91,1.12,68.12,41.99,19.94,6.16,14274775.00,2981268.00,20.88,880.48,0.58,0.37,0.21,
1.75,49.30,0.91,97.85,2.15,3745.51,0.30,0.30,0.36,3.32,3.33,2.79,0.95,0.00,221.67,30.29,0.00,0.00,0.09,0.61,457.78,43.12,490.89,82.41,51.03,23.77,7.34,4.21,0.65,2.49,1.07,75.72,48.18,21.23,6.27,14140088.00,3184187.00,22.52,842.61,0.57,0.35,0.21,
1.74,49.49,0.68,99.45,0.55,3745.59,0.30,0.30,0.12,3.35,3.33,8.16,0.94,0.00,221.07,30.43,0.00,0.00,0.09,0.61,459.88,43.29,490.73,82.89,51.30,23.71,7.47,4.36,0.81,2.38,1.17,75.79,48.49,20.96,6.31,12726994.00,3048596.00,23.95,847.41,0.61,0.39,0.21,
1.74,49.49,0.07,99.68,0.32,3747.98,0.30,0.30,0.65,3.32,3.32,1.54,0.93,0.00,221.13,30.47,0.00,0.00,0.09,0.60,456.35,43.30,490.40,79.29,51.86,23.96,7.75,3.59,0.68,1.52,1.38,79.19,50.94,21.84,6.36,12229085.00,3001350.00,24.54,914.33,0.58,0.36,0.22,
1.79,50.19,1.21,93.38,6.62,3744.99,0.34,0.33,0.96,2.93,3.06,1.04,1.13,0.00,218.11,28.20,0.00,0.00,0.09,0.59,429.58,40.46,479.91,84.57,51.74,24.15,7.94,3.61,0.72,1.61,1.28,79.26,50.80,21.74,6.67,13506558.00,3004051.00,22.24,856.23,0.58,0.37,0.21,
1.72,49.18,0.01,99.99,0.01,3747.56,0.30,0.30,0.17,3.31,3.31,5.99,0.92,0.00,220.87,30.34,0.00,0.00,0.09,0.61,458.93,42.83,491.68,81.08,51.62,23.92,10.36,5.71,0.58,1.39,3.75,79.47,50.74,22.06,6.62,14344575.00,3058845.00,21.32,894.83,0.58,0.37,0.21,
1.77,50.00,0.56,97.75,2.25,3746.15,0.30,0.30,0.61,3.31,3.35,1.63,0.97,0.00,221.27,30.44,0.00,0.00,0.09,0.61,457.87,42.60,491.89,82.47,50.86,24.04,7.28,3.84,0.72,2.10,1.02,76.83,49.17,21.35,6.26,12654969.00,2933931.00,23.18,951.00,0.56,0.35,0.21,
1.77,49.39,1.44,91.13,8.87,3745.88,0.32,0.30,0.99,3.17,3.38,1.01,1.02,0.00,225.17,28.20,0.00,0.00,0.10,0.60,451.81,43.36,487.90,83.06,43.62,22.31,7.76,5.42,1.41,2.84,1.17,79.71,50.99,22.08,6.59,14516734.00,3066372.00,21.12,864.26,0.58,0.37,0.21,
1.74,49.66,0.33,99.41,0.59,3747.10,0.30,0.30,0.27,3.35,3.35,3.77,0.93,0.00,222.25,28.38,0.00,0.00,0.10,0.59,439.60,41.79,483.51,82.01,47.58,23.10,8.28,4.90,1.22,2.21,1.47,79.53,50.89,21.78,6.82,13845077.00,3081364.00,22.26,876.90,0.58,0.36,0.21,
1.88,46.61,6.72,71.13,28.87,3743.93,0.37,0.30,0.84,2.72,3.34,1.19,1.33,0.00,230.79,17.53,0.00,0.00,0.09,0.51,322.68,30.42,435.44,73.33,35.55,25.33,8.36,7.73,1.06,5.13,1.55,66.41,37.46,22.10,6.81,19624122.00,3321098.00,16.92,875.43,0.57,0.35,0.21,
1.79,50.39,0.35,99.26,0.74,3749.79,0.30,0.30,0.32,3.37,3.37,3.11,0.97,0.00,221.43,30.45,0.00,0.00,0.09,0.61,460.55,43.52,491.55,82.59,50.97,26.33,7.25,5.20,0.95,3.17,1.08,77.45,48.43,22.82,6.17,12862213.00,2894703.00,22.51,873.71,0.57,0.36,0.22,
1.75,49.95,0.45,97.53,2.47,3746.18,0.30,0.30,0.84,3.30,3.35,1.19,0.96,0.00,222.59,30.04,0.00,0.00,0.08,0.56,420.91,35.16,448.57,82.30,51.69,24.59,7.23,12.08,0.88,10.19,1.02,68.73,41.11,21.37,6.22,15455269.00,2966269.00,19.19,874.03,0.57,0.36,0.22,
1.73,48.97,1.05,98.86,1.14,3744.61,0.30,0.30,0.16,3.35,3.32,6.14,0.93,0.00,220.78,30.04,0.00,0.00,0.09,0.60,455.40,43.06,490.66,82.68,52.71,23.79,7.45,3.22,0.57,1.55,1.11,79.34,51.04,21.92,6.34,13303805.00,3254058.00,24.46,920.64,0.59,0.37,0.21,
1.71,49.37,0.03,99.88,0.12,3745.39,0.30,0.30,0.62,3.31,3.31,1.60,0.92,0.00,221.40,30.35,0.00,0.00,0.09,0.56,402.92,35.86,444.12,80.87,50.77,23.79,7.81,4.77,1.19,2.25,1.34,75.19,48.08,20.59,6.47,12582513.00,3040057.00,24.16,864.59,0.57,0.36,0.21,
1.77,49.91,0.81,93.91,6.09,3746.70,0.35,0.33,1.33,2.86,2.99,0.75,1.13,0.00,221.26,30.26,0.00,0.00,0.09,0.60,455.33,42.36,487.36,82.65,49.04,24.61,7.45,4.61,1.18,2.34,1.09,78.62,50.31,21.90,6.36,13050764.00,3069495.00,23.52,859.87,0.59,0.37,0.21,
1.72,49.91,0.01,99.98,0.02,3733.78,0.30,0.30,0.24,3.34,3.34,4.12,0.92,0.00,221.17,30.27,0.00,0.00,0.10,0.50,320.31,31.75,462.25,81.41,51.20,25.54,7.02,2.63,0.33,1.36,0.94,78.52,50.44,21.97,6.07,11888041.00,2959013.00,24.89,875.52,0.68,0.47,0.21,
1.73,49.69,0.04,99.58,0.42,3747.07,0.30,0.30,1.59,3.29,3.30,0.63,0.94,0.00,221.32,30.44,0.00,0.00,0.09,0.61,457.72,43.03,492.54,79.56,51.02,23.79,8.71,4.89,0.60,1.52,2.77,78.64,50.58,22.07,5.94,13689726.00,3207143.00,23.43,891.68,0.55,0.34,0.21,
1.74,49.70,0.29,99.68,0.32,3745.26,0.30,0.30,0.17,3.33,3.32,6.00,0.94,0.00,221.73,30.22,0.00,0.00,0.09,0.61,457.77,42.54,491.60,79.94,48.86,22.87,8.58,5.51,1.45,2.06,2.00,68.50,43.09,18.80,6.58,14236821.00,2877942.00,20.21,817.90,0.58,0.36,0.22,
1.75,49.03,1.26,92.75,7.25,3746.94,0.32,0.30,0.92,3.16,3.32,1.09,1.00,0.00,220.73,30.35,0.00,0.00,0.09,0.61,458.76,42.90,491.75,82.53,51.82,24.62,7.29,4.04,1.14,1.93,0.98,77.51,49.94,21.23,6.31,13274166.00,3010156.00,22.68,856.22,0.58,0.36,0.21,
1.72,49.62,0.05,99.69,0.31,3745.27,0.30,0.30,0.98,3.29,3.30,1.02,0.93,0.00,221.84,30.36,0.00,0.00,0.09,0.60,458.55,42.35,490.89,82.18,51.46,23.85,13.14,6.69,0.86,1.85,3.98,81.89,50.85,21.85,9.16,14183084.00,3099687.00,21.85,866.31,0.57,0.36,0.21,
