
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../Naive_Bayes/AMDS_IC_micro_performance_adaboost.csv -- ../Naive_Bayes/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/11/05 17:26:20:710
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.79,48.80,0.09,99.66,0.34,3747.83,0.31,0.31,0.55,3.19,3.20,1.82,0.98,0.00,231.98,30.77,0.00,0.00,0.09,0.61,454.87,42.85,492.00,82.54,51.73,24.59,7.68,5.16,0.85,3.24,1.07,79.69,49.10,23.92,6.62,13280421.00,2995181.00,22.55,1236.22,0.52,0.29,0.22,
1.70,48.80,0.31,99.73,0.27,3745.72,0.31,0.31,0.13,3.23,3.22,7.47,0.93,0.00,220.59,30.38,0.00,0.00,0.10,0.60,447.01,42.71,487.09,81.59,48.04,23.09,7.84,5.79,1.00,2.60,2.19,73.24,46.90,20.63,5.65,13117924.00,2719832.00,20.73,941.66,0.55,0.34,0.21,
1.73,49.52,0.05,99.61,0.39,3744.25,0.31,0.31,1.25,3.24,3.25,0.80,0.95,0.00,220.83,30.25,0.00,0.00,0.09,0.60,449.15,41.82,487.65,80.24,50.63,23.52,6.73,3.35,0.51,1.91,0.93,77.51,49.53,22.11,5.80,11176055.00,2754756.00,24.65,915.89,0.54,0.33,0.21,
1.72,49.26,0.19,99.63,0.37,3744.58,0.31,0.31,0.29,3.27,3.27,3.44,0.94,0.00,221.30,30.10,0.00,0.00,0.08,0.56,423.48,35.12,450.08,80.40,47.58,24.75,6.77,2.74,0.59,1.24,0.91,77.23,49.35,21.97,5.86,11943870.00,2791179.00,23.37,933.33,0.54,0.33,0.21,
1.74,49.37,0.56,99.24,0.76,3743.92,0.30,0.31,0.20,3.29,3.28,4.89,0.95,0.00,220.91,30.42,0.00,0.00,0.09,0.60,454.26,41.91,491.87,81.68,50.47,24.09,8.83,3.89,0.75,1.43,1.70,78.67,49.59,21.90,7.12,12137715.00,2897527.00,23.87,883.99,0.55,0.34,0.21,
1.80,50.10,1.36,93.50,6.50,3746.16,0.36,0.35,0.90,2.75,2.86,1.11,1.21,0.00,220.95,30.43,0.00,0.00,0.09,0.60,455.48,42.43,491.59,81.53,51.45,24.00,7.35,3.61,0.67,1.94,1.01,78.16,49.42,22.34,6.35,13413410.00,3043385.00,22.69,862.84,0.54,0.33,0.22,
1.71,48.97,0.04,99.88,0.12,3745.21,0.31,0.31,0.50,3.25,3.25,1.99,0.93,0.00,220.33,30.25,0.00,0.00,0.09,0.58,431.22,38.22,465.94,81.57,42.76,27.79,7.25,4.00,0.58,2.36,1.06,77.71,49.37,22.10,6.20,12796055.00,2951250.00,23.06,869.60,0.55,0.34,0.21,
1.72,49.63,0.01,99.90,0.10,3744.46,0.31,0.31,1.08,3.27,3.27,0.92,0.94,0.00,220.99,30.30,0.00,0.00,0.09,0.60,449.96,41.74,491.01,81.00,50.04,25.32,6.80,2.62,0.30,1.34,0.99,78.17,50.41,21.89,5.81,11304754.00,2752730.00,24.35,893.11,0.54,0.33,0.21,
1.71,48.93,0.00,100.00,0.00,3743.74,0.31,0.31,0.00,3.24,3.24,0.00,0.93,0.00,221.94,30.13,0.00,0.00,0.09,0.59,425.11,39.66,480.39,80.63,51.07,23.43,6.76,2.93,0.76,1.32,0.85,76.48,49.15,21.36,5.91,11587229.00,2700367.00,23.30,883.79,0.55,0.33,0.21,
1.75,49.55,0.41,99.32,0.68,3744.34,0.31,0.31,0.26,3.26,3.26,3.92,0.96,0.00,221.30,30.32,0.00,0.00,0.09,0.59,426.71,40.37,488.52,82.28,51.54,24.81,10.12,6.40,0.46,2.11,3.82,78.58,49.27,22.96,6.30,12946927.00,3072290.00,23.73,845.10,0.56,0.34,0.21,
