
AMDuProfPcm Report

Processor Name:,AMD EPYC 7473X 24-Core Processor               
System:,Family(0x19) Model(0x1) Stepping(0x2)
Operating System:,Linux 6.8.0-85-generic
Number of Sockets :,2
Number of Core Complexes(CCX) :,16
Number of Cores :,48
Number of Threads :,96
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 48 49 50
0,1, 3 4 5 51 52 53
0,2, 6 7 8 54 55 56
0,3, 9 10 11 57 58 59
0,4, 12 13 14 60 61 62
0,5, 15 16 17 63 64 65
0,6, 18 19 20 66 67 68
0,7, 21 22 23 69 70 71
1,8, 24 25 26 72 73 74
1,9, 27 28 29 75 76 77
1,10, 30 31 32 78 79 80
1,11, 33 34 35 81 82 83
1,12, 36 37 38 84 85 86
1,13, 39 40 41 87 88 89
1,14, 42 43 44 90 91 92
1,15, 45 46 47 93 94 95

Core P0 state frequency (MHz):,2801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,memory,l3 -d 300 -o ../RF/AMDS_IC_micro_performance_rf.csv -- ../RF/server"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles

Profile Time: 2025/11/05 17:02:09:997
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,DF METRICS,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,System (Aggregated),,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),Mixed SSE/AVX Stalls (pti),IC (32B) Fetch Miss Ratio,Op Cache (64B) Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency,Total Mem Bw (GB/s),Total Mem RdBw (GB/s),Total Mem WrBw (GB/s),
1.76,48.83,0.12,99.74,0.26,3751.41,0.31,0.31,0.33,3.18,3.18,2.99,0.98,0.00,224.55,29.21,0.00,0.00,0.09,0.60,454.38,42.25,491.86,85.04,49.17,25.43,8.12,3.76,0.84,1.61,1.31,78.47,49.43,22.18,6.80,13911440.00,2782784.00,20.00,1113.75,0.54,0.32,0.22,
1.70,48.53,0.51,99.37,0.63,3746.72,0.32,0.32,0.19,3.17,3.16,5.29,0.94,0.00,224.09,28.97,0.00,0.00,0.09,0.60,455.61,41.93,492.86,84.89,50.59,25.07,8.39,13.05,1.34,10.05,1.66,62.92,37.59,18.56,6.73,14110260.00,2759555.00,19.56,834.84,0.56,0.35,0.21,
1.73,49.30,0.51,96.36,3.64,3745.59,0.31,0.30,1.12,3.20,3.28,0.89,0.97,0.00,222.83,29.04,0.00,0.00,0.09,0.60,450.83,42.51,487.74,82.11,49.73,24.62,7.20,4.13,0.59,2.43,1.11,78.01,49.58,22.28,6.08,12739224.00,2693016.00,21.14,885.43,0.56,0.35,0.21,
1.70,49.12,0.04,99.60,0.40,3745.83,0.31,0.31,1.38,3.20,3.21,0.73,0.94,0.00,221.90,30.56,0.00,0.00,0.09,0.60,449.17,40.89,490.75,84.56,46.71,22.31,8.24,4.62,0.77,2.55,1.30,78.75,49.33,22.43,6.94,11406763.00,2770999.00,24.29,905.10,0.54,0.33,0.21,
1.69,48.44,0.24,99.79,0.21,3745.96,0.31,0.31,0.14,3.19,3.18,7.28,0.93,0.00,221.62,30.40,0.00,0.00,0.09,0.60,455.12,42.46,490.82,83.23,51.28,23.59,7.82,3.89,0.99,1.58,1.32,78.22,49.95,21.71,6.50,12771726.00,2796829.00,21.90,863.71,0.57,0.36,0.21,
1.78,50.17,0.79,93.53,6.47,3747.32,0.34,0.33,1.44,2.90,3.05,0.70,1.12,0.00,221.62,30.61,0.00,0.00,0.09,0.60,445.95,41.03,489.18,83.02,49.50,23.93,7.63,3.13,0.48,1.38,1.27,78.09,49.57,22.09,6.37,13208952.00,3096637.00,23.44,807.77,0.55,0.34,0.21,
1.70,48.92,0.09,99.58,0.42,3744.37,0.31,0.31,0.75,3.19,3.19,1.34,0.94,0.00,221.92,30.64,0.00,0.00,0.09,0.59,450.14,40.44,485.12,83.45,41.54,27.96,7.68,3.66,0.86,1.65,1.16,77.60,49.25,21.77,6.52,13618008.00,2843231.00,20.88,846.68,0.56,0.35,0.21,
1.69,48.82,0.00,100.00,0.00,3744.99,0.31,0.31,0.00,3.19,3.19,0.00,0.93,0.00,222.42,30.67,0.00,0.00,0.09,0.60,451.91,41.47,492.43,82.90,49.61,23.79,7.29,5.64,1.18,3.36,1.11,73.38,46.19,20.95,6.18,12223089.00,2700656.00,22.09,840.34,0.56,0.35,0.21,
1.72,49.30,0.29,98.92,1.08,3745.45,0.31,0.31,0.57,3.24,3.25,1.75,0.94,0.00,222.53,30.51,0.00,0.00,0.09,0.60,452.40,41.17,492.77,81.60,48.43,24.39,7.09,3.86,1.10,1.80,0.96,67.84,42.41,19.26,6.13,12170908.00,2879980.00,23.66,842.23,0.56,0.34,0.21,
1.74,49.58,0.40,99.20,0.80,3744.83,0.31,0.31,0.32,3.18,3.18,3.14,0.98,0.00,221.61,30.63,0.00,0.00,0.09,0.60,456.68,42.03,492.88,83.07,49.99,24.62,7.42,3.24,0.69,1.44,1.12,77.40,49.14,21.90,6.30,13797114.00,3285623.00,23.81,1129.88,0.55,0.34,0.21,
1.69,49.27,0.08,99.61,0.39,3732.51,0.31,0.31,0.75,3.18,3.19,1.33,0.94,0.00,222.78,28.87,0.00,0.00,0.09,0.59,446.07,40.53,483.29,85.23,49.58,24.00,8.63,4.13,0.83,1.76,1.54,78.63,49.37,22.11,7.10,12568500.00,2926915.00,23.29,904.09,0.59,0.38,0.21,
1.69,48.25,0.36,99.64,0.36,3748.56,0.31,0.31,0.15,3.21,3.20,6.68,0.92,0.00,225.47,27.91,0.00,0.00,0.09,0.60,445.02,41.40,489.08,83.33,50.08,24.76,7.68,3.41,0.68,1.51,1.23,77.71,49.25,21.95,6.45,14148917.00,2880231.00,20.36,858.93,0.56,0.35,0.21,
1.75,49.60,1.01,95.46,4.54,3743.18,0.35,0.34,0.79,2.88,2.96,1.27,1.10,0.00,221.37,30.47,0.00,0.00,0.09,0.59,441.08,41.30,485.19,81.93,50.37,24.35,7.37,10.33,0.44,8.78,1.11,65.81,39.76,19.74,6.26,12541757.00,2935059.00,23.40,824.45,0.57,0.36,0.21,
1.76,50.26,0.58,98.70,1.30,3745.68,0.32,0.32,0.37,3.09,3.09,2.74,1.04,0.00,221.88,30.29,0.00,0.00,0.09,0.60,452.88,41.10,492.37,79.44,49.89,25.83,6.92,5.20,1.22,2.91,1.07,75.85,48.02,21.93,5.85,11591533.00,2742874.00,23.66,904.16,0.56,0.35,0.22,
