
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../Adaboost/AMDC_IS_micro_performance_adaboost.csv -- ../Adaboost/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 15:12:26:562
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
10.85,9.90,86.15,1.27,98.73,4520.50,2.87,0.35,3.16,0.35,2.83,0.32,16.20,0.00,201.03,1.27,0.01,0.00,0.22,0.03,8.42,1.83,465.30,2.48,1.57,0.90,0.15,0.28,0.10,0.09,0.09,2.24,1.45,0.73,0.06,6491709.00,3829953.00,59.00,110.91,
99.96,2.77,96.82,0.79,99.21,4894.36,2.03,0.57,2.07,0.49,1.74,0.48,118.63,0.00,200.54,1.15,0.08,0.00,0.23,0.02,4.95,1.13,452.05,7.02,0.88,5.96,0.16,0.16,0.02,0.04,0.10,6.77,0.84,5.87,0.05,28815348.00,17608969.00,61.11,111.10,
99.96,2.30,97.29,0.63,99.37,4874.96,2.04,0.55,2.07,0.49,1.81,0.48,118.71,0.00,200.90,1.10,0.08,0.00,0.24,0.02,4.79,1.15,452.12,6.99,0.87,5.96,0.16,0.17,0.02,0.04,0.11,6.79,0.86,5.87,0.05,27473967.00,14755310.00,53.71,112.93,
99.96,2.21,97.38,0.62,99.38,4870.52,2.04,0.57,2.07,0.49,1.76,0.48,118.69,0.00,200.90,1.10,0.08,0.00,0.23,0.02,4.69,1.10,451.75,6.97,0.84,6.01,0.12,0.14,0.02,0.03,0.09,6.81,0.83,5.94,0.03,21968555.00,13551214.00,61.68,114.75,
99.96,2.24,97.35,0.64,99.36,4867.03,2.04,0.58,2.07,0.49,1.72,0.48,118.55,0.00,200.82,1.09,0.08,0.00,0.24,0.02,4.70,1.11,452.19,6.94,0.86,5.96,0.13,0.13,0.01,0.02,0.10,6.78,0.84,5.91,0.03,21974935.00,14035498.00,63.87,117.76,
99.96,2.41,97.18,0.73,99.27,4860.69,2.02,0.60,2.05,0.50,1.65,0.49,117.17,0.00,199.36,1.08,0.08,0.00,0.23,0.02,5.05,1.16,460.55,6.74,0.87,5.64,0.22,0.16,0.02,0.03,0.12,6.55,0.86,5.58,0.11,24210307.00,13527577.00,55.88,112.57,
99.96,3.33,96.25,1.11,98.89,4854.36,1.95,0.65,1.99,0.51,1.55,0.50,112.84,0.00,195.23,1.07,0.07,0.00,0.19,0.02,6.15,1.17,483.76,6.45,0.89,5.09,0.51,0.27,0.05,0.05,0.18,6.23,0.89,5.01,0.33,36533151.00,20066286.00,54.93,112.69,
99.94,5.09,94.39,2.32,97.68,4873.30,1.55,0.70,1.60,0.64,1.42,0.63,90.22,0.00,165.34,0.60,0.00,0.00,0.05,0.02,6.75,0.32,643.90,5.63,0.23,3.04,2.34,0.69,0.04,0.09,0.56,4.81,0.20,2.82,1.78,79457398.00,48990055.00,61.66,114.16,
99.94,4.85,94.64,2.21,97.79,4873.79,1.55,0.71,1.60,0.64,1.42,0.63,90.43,0.00,165.68,0.63,0.00,0.00,0.04,0.02,6.32,0.27,646.01,5.41,0.22,2.93,2.24,0.66,0.03,0.08,0.56,4.59,0.19,2.71,1.69,76762714.00,48523024.00,63.21,113.05,
99.93,11.27,88.03,4.99,95.01,4886.51,1.54,0.68,1.65,0.65,1.48,0.61,89.44,0.00,146.08,1.34,0.00,0.00,0.04,0.03,11.00,0.40,652.97,5.72,0.38,3.69,1.65,1.22,0.06,0.14,1.01,4.20,0.31,3.24,0.64,141237855.00,120600194.00,85.39,146.83,
