
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../KMeans/AMDC_IS_micro_performance_kmeans.csv -- ../KMeans/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 14:37:44:784
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
99.96,0.72,98.88,0.26,99.74,4887.33,1.56,0.55,1.57,0.64,1.81,0.64,91.06,0.00,171.71,0.36,0.11,0.00,0.09,0.14,36.73,3.40,651.44,2.78,2.34,0.34,0.12,0.11,0.01,0.01,0.09,2.67,2.31,0.34,0.02,13828120.00,10445564.00,75.54,99.07,
99.96,1.97,97.62,0.79,99.21,4884.17,1.65,0.66,1.68,0.60,1.52,0.60,96.56,0.00,187.47,0.59,0.07,0.00,0.17,0.26,65.42,11.41,559.26,10.03,8.29,1.43,0.18,0.20,0.03,0.05,0.12,9.88,8.55,1.27,0.06,25269931.00,15193875.00,60.13,109.44,
99.96,2.63,96.96,1.01,98.99,4881.11,1.67,0.64,1.70,0.60,1.57,0.59,97.40,0.00,186.42,0.72,0.07,0.00,0.16,0.22,57.58,9.47,557.59,9.44,7.33,1.67,0.23,0.26,0.03,0.07,0.16,9.02,7.51,1.45,0.06,33684097.00,21921508.00,65.08,113.20,
99.96,2.32,97.27,0.84,99.16,4875.04,1.68,0.60,1.71,0.59,1.66,0.59,97.95,0.00,186.72,0.65,0.11,0.00,0.16,0.20,51.11,8.17,557.09,8.20,5.88,1.79,0.26,0.27,0.02,0.04,0.21,7.63,5.90,1.67,0.05,35561780.00,26451921.00,74.38,116.12,
99.96,2.29,97.30,0.93,99.07,4877.07,1.66,0.67,1.68,0.60,1.49,0.60,96.54,0.00,184.90,0.68,0.11,0.00,0.17,0.24,60.52,10.22,564.60,8.82,7.46,1.41,0.25,0.26,0.02,0.05,0.20,8.43,6.95,1.43,0.05,32448847.00,23186133.00,71.45,108.87,
99.96,2.21,97.38,0.88,99.12,4880.07,1.64,0.65,1.66,0.61,1.54,0.60,95.62,0.00,188.08,0.77,0.07,0.00,0.17,0.24,62.26,10.39,552.58,9.54,7.57,1.79,0.22,0.24,0.02,0.06,0.16,9.67,8.12,1.50,0.05,29903822.00,21958293.00,73.43,116.78,
99.96,1.35,98.24,0.52,99.48,4874.46,1.63,0.62,1.65,0.61,1.60,0.61,95.05,0.00,188.37,0.73,0.07,0.00,0.16,0.25,62.29,9.95,554.98,9.06,7.31,1.73,0.14,0.17,0.03,0.03,0.10,9.06,7.31,1.71,0.04,18590699.00,10385182.00,55.86,102.36,
99.96,1.45,98.14,0.58,99.42,4875.05,1.63,0.65,1.65,0.61,1.54,0.61,95.11,0.00,186.67,0.74,0.07,0.00,0.16,0.28,69.94,11.33,566.96,9.81,7.71,1.55,0.13,0.14,0.02,0.02,0.10,9.40,7.92,1.44,0.03,18122666.00,10391518.00,57.34,102.63,
99.96,2.92,96.67,1.14,98.86,4876.77,1.63,0.63,1.66,0.61,1.58,0.60,94.74,0.00,186.24,0.92,0.06,0.00,0.16,0.26,68.19,10.67,567.39,9.54,7.44,1.81,0.25,0.28,0.02,0.07,0.18,9.17,7.45,1.65,0.07,39975617.00,31462753.00,78.70,127.48,
99.96,4.48,95.11,1.73,98.27,4874.95,1.66,0.64,1.71,0.60,1.57,0.59,96.53,0.00,186.70,1.04,0.20,0.00,0.14,0.17,43.87,6.25,556.64,7.40,4.53,2.54,0.48,0.55,0.03,0.10,0.42,6.23,3.70,2.46,0.06,69788491.00,60243219.00,86.32,133.95,
