
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../KernelSVM/AMDC_IS_micro_performance_ksvm.csv -- ../KernelSVM/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/30 23:54:12:977
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
11.72,10.04,85.84,1.74,98.26,4562.21,2.70,0.45,2.97,0.37,2.23,0.34,16.64,0.00,201.13,1.37,0.01,0.00,0.18,0.04,14.15,2.49,478.51,2.96,1.57,0.96,0.20,0.49,0.22,0.14,0.13,2.78,1.77,0.94,0.07,9085346.00,4759721.00,52.39,109.69,
99.95,2.41,97.13,0.67,99.33,4937.19,2.04,0.57,2.08,0.49,1.76,0.48,120.55,0.00,200.65,1.19,0.08,0.00,0.21,0.02,5.99,1.28,447.47,6.80,0.83,5.83,0.14,0.15,0.02,0.04,0.09,6.61,0.83,5.72,0.05,25478028.00,15761043.00,61.86,114.07,
99.95,2.23,97.26,0.63,99.37,4920.14,2.04,0.57,2.08,0.49,1.74,0.48,120.05,0.00,200.67,1.25,0.08,0.00,0.21,0.02,6.17,1.30,449.26,6.82,0.82,5.84,0.15,0.17,0.02,0.04,0.11,6.61,0.81,5.77,0.04,25939785.00,14521218.00,55.98,114.30,
99.95,2.24,97.26,0.64,99.36,4904.64,2.04,0.58,2.08,0.49,1.72,0.48,119.68,0.00,200.90,1.24,0.08,0.00,0.21,0.02,6.02,1.27,447.27,6.80,0.82,5.85,0.13,0.14,0.01,0.02,0.10,6.63,0.82,5.78,0.03,23046727.00,12979369.00,56.32,113.91,
99.95,2.51,97.01,0.74,99.26,4905.64,2.04,0.60,2.07,0.49,1.67,0.48,119.28,0.00,200.66,1.26,0.08,0.00,0.21,0.02,6.04,1.28,447.66,6.81,0.84,5.82,0.14,0.14,0.01,0.02,0.11,6.63,0.83,5.77,0.03,23996374.00,13349493.00,55.63,114.81,
99.95,2.43,97.12,0.73,99.27,4901.67,2.02,0.61,2.05,0.50,1.65,0.49,118.16,0.00,199.25,1.23,0.08,0.00,0.20,0.03,7.10,1.41,457.16,6.59,0.87,5.47,0.25,0.16,0.01,0.02,0.12,6.37,0.85,5.40,0.12,25816703.00,13424187.00,52.00,113.50,
99.94,2.87,96.62,0.98,99.02,4903.21,1.91,0.65,1.95,0.52,1.55,0.51,111.79,0.00,192.76,1.13,0.06,0.00,0.17,0.03,7.71,1.33,494.69,6.17,0.81,4.70,0.68,0.26,0.02,0.04,0.20,5.83,0.76,4.59,0.48,37385750.00,21336763.00,57.07,114.31,
99.88,4.52,94.78,2.09,97.91,4924.26,1.55,0.71,1.59,0.64,1.40,0.63,91.01,0.00,166.03,0.60,0.05,0.00,0.05,0.02,6.05,0.29,645.16,5.53,0.21,2.93,2.39,0.67,0.03,0.08,0.56,4.73,0.18,2.72,1.83,77935171.00,49180244.00,63.10,112.59,
99.88,4.09,95.22,1.95,98.05,4927.05,1.56,0.74,1.59,0.64,1.36,0.63,91.31,0.00,163.85,0.49,0.06,0.00,0.04,0.02,5.26,0.19,647.76,5.18,0.17,2.77,2.25,0.61,0.03,0.08,0.51,4.48,0.15,2.59,1.74,70441086.00,43552688.00,61.83,112.76,
99.92,1.37,98.06,0.58,99.42,4916.89,1.61,0.68,1.63,0.62,1.46,0.61,94.62,0.00,144.71,0.20,0.80,0.00,0.05,0.01,2.47,0.11,653.08,3.01,0.09,1.53,1.39,0.96,0.03,0.04,0.89,2.03,0.07,1.47,0.50,98252026.00,83990147.00,85.48,107.37,
99.95,0.33,99.22,0.11,99.89,4922.41,1.65,0.56,1.65,0.61,1.77,0.61,96.92,0.00,140.80,0.06,0.69,0.00,0.05,0.00,0.76,0.04,645.89,0.77,0.04,0.37,0.34,0.34,0.01,0.01,0.32,0.42,0.03,0.36,0.02,35156265.00,31184013.00,88.70,98.45,
99.95,1.19,98.32,0.51,99.49,4918.04,1.60,0.68,1.61,0.62,1.47,0.62,94.01,0.00,137.71,0.15,0.71,0.00,0.05,0.01,1.83,0.09,666.42,1.34,0.07,0.69,0.57,0.49,0.02,0.01,0.47,0.81,0.05,0.65,0.10,52005928.00,46109077.00,88.66,104.71,
99.92,4.68,94.70,2.07,97.93,4913.75,1.53,0.67,1.57,0.66,1.49,0.64,89.31,0.00,132.47,0.55,0.66,0.00,0.05,0.03,7.53,0.35,692.90,3.22,0.27,1.87,1.08,0.89,0.05,0.06,0.78,2.26,0.25,1.72,0.30,94617749.00,82131872.00,86.80,127.18,
99.94,6.69,92.73,2.83,97.17,4911.35,1.60,0.67,1.66,0.63,1.49,0.60,93.53,0.00,129.44,0.74,0.68,0.00,0.09,0.04,11.45,1.01,670.39,7.24,0.76,4.37,2.05,0.68,0.05,0.06,0.58,6.31,0.71,4.12,1.48,83485229.00,71368497.00,85.49,139.64,
99.95,0.74,98.81,0.34,99.66,4899.46,1.66,0.75,1.66,0.60,1.33,0.60,96.84,0.00,128.54,0.09,1.15,0.00,0.07,0.03,6.34,0.47,676.56,7.31,0.23,4.45,2.56,0.05,0.01,0.02,0.02,7.20,0.22,4.44,2.54,6307000.00,2041286.00,32.37,94.07,
99.96,0.43,99.12,0.15,99.85,4899.75,1.65,0.56,1.66,0.60,1.80,0.60,96.78,0.00,128.68,0.05,1.15,0.00,0.07,0.03,5.66,0.37,678.66,7.09,0.21,4.47,2.43,0.02,0.01,0.01,0.01,7.11,0.22,4.47,2.42,4030385.00,1506690.00,37.38,95.89,
99.95,0.35,99.20,0.12,99.88,4899.50,1.66,0.57,1.66,0.60,1.77,0.60,96.85,0.00,128.66,0.05,1.15,0.00,0.06,0.03,5.63,0.36,678.60,6.88,0.20,4.46,2.21,0.02,0.00,0.00,0.01,6.85,0.21,4.45,2.20,3712744.00,1378433.00,37.13,101.10,
99.96,0.34,99.22,0.12,99.88,4899.67,1.66,0.58,1.66,0.60,1.73,0.60,96.84,0.00,128.68,0.05,1.15,0.00,0.06,0.03,5.70,0.37,678.77,6.93,0.21,4.44,2.26,0.02,0.01,0.01,0.01,6.89,0.20,4.44,2.25,3647817.00,1458997.00,40.00,94.19,
99.96,0.49,99.06,0.20,99.80,4898.65,1.65,0.66,1.66,0.60,1.52,0.60,96.80,0.00,128.79,0.08,1.15,0.00,0.06,0.03,5.63,0.36,678.72,6.92,0.22,4.44,2.27,0.02,0.01,0.00,0.01,6.90,0.21,4.44,2.26,3509551.00,1385422.00,39.48,95.81,
99.96,0.33,99.22,0.12,99.88,4898.56,1.66,0.58,1.66,0.60,1.72,0.60,96.84,0.00,128.68,0.05,1.15,0.00,0.07,0.03,5.76,0.39,678.69,6.87,0.22,4.46,2.18,0.03,0.01,0.01,0.01,6.82,0.22,4.43,2.17,4142845.00,1515433.00,36.58,97.23,
99.96,0.34,99.22,0.12,99.88,4899.38,1.65,0.58,1.66,0.60,1.73,0.60,96.79,0.00,128.65,0.05,1.15,0.00,0.07,0.03,5.70,0.38,678.59,6.88,0.24,4.46,2.23,0.01,0.00,0.00,0.01,6.87,0.21,4.44,2.22,3677785.00,1397085.00,37.99,95.86,
99.95,0.31,99.24,0.11,99.89,4900.62,1.66,0.58,1.66,0.60,1.71,0.60,96.90,0.00,128.66,0.05,1.15,0.00,0.06,0.03,5.70,0.37,678.60,6.92,0.21,4.46,2.28,0.03,0.01,0.01,0.01,6.93,0.22,4.45,2.27,3871695.00,1461206.00,37.74,95.54,
99.96,0.36,99.19,0.13,99.87,4900.81,1.65,0.57,1.66,0.60,1.77,0.60,96.77,0.00,128.71,0.05,1.15,0.00,0.07,0.03,5.66,0.37,678.72,7.02,0.20,4.45,2.36,0.03,0.01,0.01,0.01,7.02,0.22,4.45,2.35,3854204.00,1463377.00,37.97,98.74,
99.95,0.80,98.75,0.37,99.63,4900.55,1.65,0.77,1.66,0.60,1.30,0.60,96.81,0.00,128.68,0.12,1.15,0.00,0.07,0.03,6.03,0.45,677.22,7.26,0.25,4.45,2.53,0.07,0.03,0.02,0.02,7.21,0.27,4.44,2.51,7159987.00,2229747.00,31.14,96.39,
99.95,0.31,99.24,0.11,99.89,4900.36,1.66,0.58,1.66,0.60,1.72,0.60,96.92,0.00,128.64,0.04,1.15,0.00,0.07,0.03,5.74,0.40,678.49,7.13,0.21,4.48,2.39,0.04,0.01,0.01,0.01,7.06,0.21,4.47,2.38,4667434.00,1640279.00,35.14,95.54,
98.82,0.35,99.20,0.12,99.88,4900.05,1.67,0.55,1.68,0.60,1.81,0.60,96.67,0.00,128.71,0.05,1.12,0.00,0.07,0.03,5.84,0.40,678.45,7.44,0.22,4.47,2.75,0.03,0.00,0.01,0.01,7.40,0.20,4.46,2.74,5585069.00,1939547.00,34.73,95.14,
95.78,0.75,98.78,0.25,99.75,4899.11,1.72,0.57,1.73,0.58,1.76,0.58,96.32,0.00,129.39,0.11,0.91,0.00,0.08,0.03,6.32,0.47,674.90,9.87,0.29,5.20,4.30,0.17,0.04,0.06,0.07,9.62,0.27,5.14,4.22,21750460.00,7446207.00,34.23,93.10,
83.57,0.71,98.76,0.16,99.84,4900.61,1.92,0.42,1.93,0.52,2.35,0.52,93.81,0.00,129.27,0.12,0.74,0.00,0.05,0.03,6.03,0.31,674.42,10.84,0.16,5.36,5.39,0.21,0.04,0.07,0.10,10.78,0.19,5.30,5.28,24651260.00,7350665.00,29.82,92.44,
83.16,0.83,98.63,0.20,99.80,4901.40,1.91,0.46,1.92,0.52,2.16,0.52,92.84,0.00,128.99,0.15,0.73,0.00,0.06,0.03,6.54,0.38,672.83,10.94,0.22,5.40,5.37,0.19,0.03,0.06,0.09,10.82,0.19,5.34,5.28,23326100.00,7638927.00,32.75,92.77,
83.71,0.64,98.82,0.14,99.86,4899.92,1.92,0.43,1.93,0.52,2.33,0.52,94.12,0.00,129.34,0.12,0.74,0.00,0.06,0.03,6.21,0.34,675.01,10.99,0.18,5.38,5.42,0.24,0.03,0.05,0.15,10.71,0.16,5.28,5.27,27587181.00,7362194.00,26.69,92.35,
84.33,0.73,98.74,0.17,99.83,4898.81,1.91,0.45,1.92,0.52,2.23,0.52,94.18,0.00,129.14,0.12,0.74,0.00,0.05,0.03,6.26,0.34,674.89,11.12,0.19,5.42,5.48,0.19,0.03,0.05,0.11,10.80,0.16,5.27,5.37,20829895.00,6934256.00,33.29,92.43,
83.04,0.64,98.82,0.14,99.86,4902.46,1.93,0.43,1.94,0.52,2.35,0.51,93.91,0.00,128.94,0.12,0.74,0.00,0.05,0.03,6.20,0.33,674.90,11.19,0.17,5.41,5.52,0.20,0.02,0.04,0.14,10.83,0.16,5.29,5.38,22616073.00,6653378.00,29.42,92.88,
82.42,0.67,98.79,0.14,99.86,4901.83,1.94,0.42,1.95,0.52,2.39,0.51,93.32,0.00,128.78,0.12,0.74,0.00,0.05,0.03,6.17,0.31,675.15,11.01,0.15,5.27,5.44,0.18,0.03,0.04,0.11,10.76,0.16,5.27,5.34,20195672.00,6817551.00,33.76,93.22,
83.15,0.65,98.82,0.14,99.86,4898.24,1.93,0.42,1.94,0.52,2.38,0.51,94.02,0.00,128.66,0.11,0.74,0.00,0.05,0.03,6.13,0.30,675.13,10.98,0.17,5.47,5.46,0.22,0.03,0.08,0.10,10.91,0.18,5.38,5.36,20267645.00,6489546.00,32.02,92.50,
84.01,1.04,98.43,0.26,99.74,4901.09,1.91,0.48,1.93,0.52,2.10,0.52,93.96,0.00,128.88,0.16,0.74,0.00,0.06,0.03,6.73,0.41,673.73,11.29,0.18,5.46,5.51,0.26,0.03,0.05,0.18,10.79,0.16,5.30,5.33,28346328.00,7607468.00,26.84,92.60,
83.27,0.64,98.83,0.14,99.86,4900.54,1.93,0.42,1.94,0.52,2.37,0.52,94.07,0.00,128.82,0.11,0.74,0.00,0.06,0.03,6.23,0.35,674.83,10.92,0.17,5.44,5.40,0.19,0.02,0.07,0.10,10.80,0.15,5.36,5.30,22320645.00,6634515.00,29.72,92.38,
83.11,0.62,98.85,0.14,99.86,4900.31,1.94,0.43,1.95,0.52,2.34,0.51,94.13,0.00,128.96,0.11,0.74,0.00,0.05,0.03,6.09,0.30,674.87,10.94,0.18,5.36,5.40,0.17,0.02,0.05,0.10,10.71,0.15,5.26,5.30,20065329.00,6813817.00,33.96,92.28,
83.22,0.65,98.81,0.14,99.86,4899.95,1.93,0.43,1.94,0.52,2.34,0.52,93.78,0.00,128.76,0.11,0.74,0.00,0.05,0.03,6.14,0.30,675.06,10.94,0.16,5.38,5.42,0.18,0.02,0.04,0.12,10.73,0.14,5.29,5.30,24208909.00,6936317.00,28.65,92.61,
83.74,0.66,98.81,0.15,99.85,4900.22,1.91,0.43,1.92,0.52,2.34,0.52,93.56,0.00,129.00,0.11,0.74,0.00,0.05,0.03,6.09,0.31,674.95,11.06,0.16,5.39,5.47,0.15,0.02,0.04,0.10,10.85,0.14,5.33,5.38,19882882.00,6530505.00,32.84,92.58,
83.98,0.98,98.49,0.29,99.71,4898.15,1.92,0.57,1.93,0.52,1.76,0.52,94.15,0.00,128.73,0.16,0.74,0.00,0.06,0.03,6.43,0.36,673.11,10.99,0.22,5.33,5.43,0.19,0.04,0.06,0.10,10.73,0.19,5.22,5.33,22645058.00,7518376.00,33.20,93.22,
83.62,0.71,98.74,0.15,99.85,4897.52,1.92,0.41,1.93,0.52,2.42,0.52,93.88,0.00,128.43,0.11,0.75,0.00,0.05,0.03,6.10,0.32,674.70,11.01,0.21,5.34,5.44,0.17,0.03,0.04,0.10,10.78,0.16,5.28,5.34,20629288.00,6309102.00,30.58,92.08,
83.76,0.63,98.84,0.14,99.86,4895.14,1.92,0.43,1.93,0.52,2.31,0.52,94.03,0.00,128.99,0.11,0.74,0.00,0.05,0.03,6.15,0.33,674.62,11.01,0.20,5.34,5.43,0.17,0.02,0.05,0.10,10.82,0.17,5.33,5.33,20192174.00,6806321.00,33.71,92.53,
83.36,0.67,98.79,0.14,99.86,4895.74,1.92,0.40,1.93,0.52,2.48,0.52,93.71,0.00,128.74,0.11,0.75,0.00,0.05,0.03,6.04,0.29,674.98,10.95,0.17,5.38,5.43,0.19,0.02,0.07,0.10,10.78,0.14,5.31,5.33,20668252.00,6512950.00,31.51,93.19,
82.69,0.68,98.79,0.15,99.85,4896.24,1.92,0.42,1.93,0.52,2.39,0.52,92.89,0.00,129.17,0.11,0.74,0.00,0.05,0.03,6.11,0.31,674.96,11.19,0.17,5.50,5.50,0.20,0.02,0.05,0.13,10.83,0.13,5.33,5.37,21193956.00,6956971.00,32.83,93.00,
84.34,0.97,98.50,0.32,99.68,4895.49,1.90,0.62,1.91,0.53,1.62,0.52,93.44,0.00,128.61,0.15,0.74,0.00,0.05,0.03,6.33,0.33,671.93,10.85,0.24,5.36,5.35,0.20,0.04,0.08,0.08,10.85,0.19,5.39,5.27,22339398.00,7439175.00,33.30,92.57,
82.48,0.67,98.79,0.15,99.85,4894.66,1.93,0.42,1.94,0.52,2.37,0.52,92.81,0.00,128.92,0.11,0.73,0.00,0.05,0.03,6.20,0.32,675.16,10.96,0.17,5.38,5.41,0.15,0.02,0.04,0.09,10.78,0.14,5.32,5.32,20847153.00,7619109.00,36.55,92.37,
83.17,0.76,98.71,0.17,99.83,4894.88,1.92,0.43,1.93,0.52,2.34,0.52,93.17,0.00,129.58,0.12,0.73,0.00,0.06,0.03,6.25,0.35,673.18,11.11,0.20,5.41,5.43,0.18,0.02,0.04,0.12,10.78,0.15,5.32,5.31,22619579.00,7460470.00,32.98,92.36,
84.34,0.61,98.86,0.15,99.85,4896.01,1.88,0.46,1.89,0.53,2.18,0.53,92.90,0.00,128.86,0.11,0.73,0.00,0.05,0.03,6.05,0.29,674.58,11.08,0.18,5.45,5.44,0.21,0.02,0.06,0.13,10.84,0.14,5.38,5.31,23577519.00,6446318.00,27.34,92.82,
83.03,0.60,98.86,0.14,99.86,4893.77,1.91,0.43,1.92,0.52,2.31,0.52,92.62,0.00,128.65,0.11,0.73,0.00,0.06,0.03,6.50,0.40,674.52,11.03,0.22,5.41,5.43,0.20,0.02,0.06,0.12,10.81,0.15,5.35,5.31,25244389.00,7102584.00,28.14,92.88,
82.46,0.84,98.62,0.29,99.71,4897.61,1.92,0.65,1.93,0.52,1.54,0.52,92.33,0.00,128.82,0.15,0.73,0.00,0.06,0.03,6.48,0.37,673.80,11.16,0.19,5.44,5.41,0.24,0.03,0.06,0.15,10.68,0.17,5.24,5.26,25801079.00,8289637.00,32.13,93.01,
83.18,0.65,98.82,0.14,99.86,4889.18,1.91,0.42,1.92,0.52,2.36,0.52,92.74,0.00,128.55,0.10,0.73,0.00,0.05,0.03,6.07,0.32,674.79,10.99,0.17,5.40,5.41,0.13,0.02,0.04,0.07,10.84,0.14,5.36,5.34,19247525.00,6457290.00,33.55,92.72,
83.00,0.67,98.79,0.15,99.85,4890.67,1.92,0.42,1.93,0.52,2.38,0.52,93.02,0.00,128.92,0.11,0.74,0.00,0.05,0.03,6.00,0.29,674.73,10.88,0.17,5.32,5.36,0.13,0.02,0.04,0.07,10.73,0.14,5.30,5.29,20656853.00,7196236.00,34.84,92.57,
84.08,0.72,98.75,0.17,99.83,4891.95,1.90,0.44,1.91,0.53,2.26,0.52,93.43,0.00,129.06,0.11,0.74,0.00,0.05,0.03,6.13,0.31,675.10,11.06,0.17,5.39,5.47,0.16,0.02,0.04,0.10,10.83,0.14,5.31,5.37,20220464.00,6810734.00,33.68,92.60,
83.75,0.66,98.80,0.15,99.85,4891.02,1.92,0.43,1.93,0.52,2.32,0.52,93.83,0.00,128.67,0.11,0.74,0.00,0.05,0.03,6.20,0.32,674.83,10.94,0.20,5.36,5.43,0.14,0.02,0.04,0.08,10.81,0.16,5.29,5.35,20850949.00,7033116.00,33.73,92.69,
83.73,1.09,98.37,0.34,99.66,4889.56,1.92,0.60,1.93,0.52,1.68,0.52,93.80,0.00,128.87,0.15,0.74,0.00,0.06,0.03,6.46,0.37,673.22,11.07,0.23,5.42,5.44,0.25,0.04,0.08,0.13,10.88,0.24,5.33,5.31,25553658.00,8192056.00,32.06,93.31,
83.75,0.63,98.84,0.14,99.86,4890.48,1.92,0.43,1.93,0.52,2.34,0.52,93.87,0.00,129.10,0.11,0.74,0.00,0.06,0.03,6.24,0.35,675.04,11.15,0.18,5.50,5.50,0.23,0.02,0.07,0.13,10.90,0.16,5.38,5.36,20423507.00,6896490.00,33.77,92.55,
83.24,0.71,98.76,0.15,99.85,4890.45,1.91,0.41,1.92,0.52,2.43,0.52,92.90,0.00,128.75,0.11,0.74,0.00,0.06,0.03,6.37,0.40,674.45,11.18,0.20,5.41,5.46,0.17,0.02,0.03,0.12,10.76,0.16,5.25,5.34,20402510.00,6938873.00,34.01,92.50,
83.50,0.62,98.84,0.14,99.86,4891.84,1.90,0.42,1.90,0.53,2.35,0.53,92.40,0.00,128.95,0.12,0.73,0.00,0.05,0.03,6.11,0.32,674.87,10.85,0.20,5.32,5.38,0.23,0.03,0.06,0.14,10.71,0.16,5.30,5.25,25730818.00,7293479.00,28.35,92.74,
84.34,0.63,98.84,0.15,99.85,4885.68,1.90,0.44,1.91,0.53,2.28,0.52,93.49,0.00,128.94,0.11,0.74,0.00,0.05,0.03,6.15,0.34,674.44,11.21,0.17,5.54,5.49,0.18,0.02,0.05,0.10,10.96,0.14,5.43,5.38,19085967.00,6284223.00,32.93,92.46,
83.57,1.09,98.37,0.37,99.63,4887.29,1.89,0.64,1.90,0.53,1.55,0.53,92.13,0.00,128.65,0.18,0.73,0.00,0.05,0.03,6.30,0.32,672.80,11.10,0.18,5.45,5.43,0.21,0.02,0.04,0.15,10.75,0.15,5.33,5.27,28609595.00,7772475.00,27.17,93.01,
82.72,0.72,98.74,0.16,99.84,4887.66,1.92,0.41,1.93,0.52,2.41,0.52,92.77,0.00,128.75,0.11,0.73,0.00,0.06,0.03,6.13,0.34,674.68,11.00,0.17,5.39,5.43,0.19,0.03,0.06,0.10,10.84,0.16,5.35,5.33,21857952.00,6569509.00,30.06,91.99,
84.13,0.63,98.84,0.14,99.86,4887.08,1.91,0.43,1.92,0.52,2.30,0.52,93.82,0.00,128.69,0.11,0.74,0.00,0.05,0.03,6.05,0.32,674.53,10.94,0.18,5.39,5.42,0.18,0.03,0.06,0.09,10.83,0.15,5.34,5.34,20167934.00,6889487.00,34.16,92.50,
83.74,0.73,98.73,0.16,99.84,4886.69,1.92,0.42,1.93,0.52,2.36,0.52,93.65,0.00,128.90,0.11,0.74,0.00,0.05,0.03,6.08,0.29,674.79,11.05,0.16,5.47,5.45,0.19,0.02,0.05,0.12,10.78,0.13,5.33,5.32,19957663.00,5896099.00,29.54,92.38,
84.09,0.66,98.81,0.14,99.86,4887.65,1.91,0.41,1.92,0.52,2.43,0.52,93.63,0.00,128.68,0.11,0.75,0.00,0.05,0.03,6.12,0.30,674.78,10.90,0.16,5.34,5.40,0.16,0.03,0.05,0.08,10.78,0.16,5.31,5.31,21298145.00,6778477.00,31.83,92.66,
83.56,1.00,98.46,0.27,99.73,4886.11,1.92,0.51,1.93,0.52,1.95,0.52,93.49,0.00,128.79,0.15,0.74,0.00,0.06,0.03,6.76,0.41,673.31,10.91,0.20,5.27,5.39,0.22,0.05,0.07,0.10,10.78,0.22,5.27,5.29,24496915.00,8084160.00,33.00,93.52,
83.69,0.65,98.81,0.14,99.86,4887.12,1.90,0.42,1.91,0.53,2.39,0.52,92.75,0.00,128.86,0.11,0.74,0.00,0.05,0.03,6.16,0.32,674.66,11.09,0.17,5.42,5.46,0.19,0.02,0.05,0.11,10.91,0.15,5.42,5.35,21892079.00,7053032.00,32.22,92.40,
