
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../Linear_Regression/AMDC_IS_micro_performance_linear.csv -- ../Linear_Regression/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 15:58:47:155
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
10.81,10.51,85.60,1.86,98.14,4527.65,2.47,0.42,2.73,0.40,2.37,0.37,13.96,0.00,185.97,0.85,0.00,0.00,0.22,0.08,22.50,4.91,548.77,4.16,3.05,0.97,0.20,0.27,0.06,0.08,0.12,3.83,2.99,0.76,0.08,7179465.00,4072549.00,56.72,113.61,
99.96,3.07,96.52,0.96,99.04,4926.52,1.82,0.57,1.86,0.55,1.76,0.54,107.23,0.00,185.82,0.63,0.02,0.00,0.19,0.06,16.69,3.16,543.88,5.61,2.08,3.32,0.15,0.15,0.01,0.04,0.10,5.34,2.06,3.24,0.05,26631295.00,18044712.00,67.76,126.10,
99.96,2.87,96.72,0.89,99.11,4899.56,1.82,0.56,1.86,0.55,1.77,0.54,106.77,0.00,185.48,0.62,0.02,0.00,0.19,0.06,16.60,3.15,543.94,5.59,2.09,3.38,0.15,0.16,0.02,0.04,0.11,5.36,2.06,3.27,0.04,25302336.00,15997309.00,63.22,129.08,
99.96,2.58,97.01,0.82,99.18,4897.05,1.83,0.58,1.87,0.55,1.73,0.54,107.16,0.00,185.84,0.61,0.02,0.00,0.19,0.06,16.49,3.15,542.79,5.60,2.08,3.38,0.13,0.14,0.02,0.02,0.10,5.43,2.08,3.32,0.03,21731123.00,12726475.00,58.56,116.75,
99.95,3.04,96.52,0.98,99.02,4898.88,1.82,0.58,1.86,0.55,1.71,0.54,106.35,0.00,184.93,0.64,0.02,0.00,0.19,0.06,16.61,3.14,545.15,5.67,2.07,3.43,0.17,0.19,0.02,0.04,0.13,5.45,2.07,3.34,0.04,27560284.00,17982358.00,65.25,139.94,
99.96,2.54,97.05,0.81,99.19,4897.30,1.83,0.58,1.87,0.55,1.72,0.54,107.28,0.00,185.90,0.61,0.02,0.00,0.19,0.06,16.60,3.15,542.39,5.60,2.09,3.39,0.13,0.12,0.01,0.02,0.09,5.42,2.07,3.31,0.03,20255768.00,11602674.00,57.28,119.87,
99.96,2.51,97.08,0.81,99.19,4885.17,1.83,0.59,1.86,0.55,1.70,0.54,106.73,0.00,185.49,0.60,0.02,0.00,0.19,0.06,16.62,3.20,544.85,5.59,2.12,3.31,0.15,0.13,0.01,0.02,0.10,5.41,2.10,3.25,0.06,20942443.00,12447627.00,59.44,118.00,
99.96,2.64,96.95,0.88,99.12,4882.55,1.81,0.60,1.85,0.55,1.67,0.54,105.73,0.00,184.49,0.60,0.01,0.00,0.19,0.06,17.03,3.29,550.95,5.59,2.16,3.17,0.24,0.16,0.01,0.02,0.12,5.38,2.16,3.09,0.12,23976555.00,15087470.00,62.93,114.63,
99.96,4.62,94.95,2.02,97.98,4896.67,1.55,0.68,1.59,0.65,1.48,0.63,90.63,0.00,166.27,0.53,0.05,0.00,0.10,0.02,5.76,0.56,647.91,4.55,0.47,2.05,2.05,0.72,0.03,0.14,0.54,3.71,0.41,1.79,1.51,80750599.00,65748280.00,81.42,108.10,
99.96,4.16,95.41,1.83,98.17,4899.22,1.55,0.68,1.59,0.64,1.47,0.63,90.87,0.00,162.47,0.48,0.17,0.00,0.08,0.01,4.62,0.35,652.38,4.56,0.30,1.96,2.31,0.85,0.04,0.13,0.68,3.63,0.26,1.73,1.63,92437490.00,78455242.00,84.87,107.90,
