
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../Logistic_Regression/AMDC_IS_micro_performance_lr.csv -- ../Logistic_Regression/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 14:48:43:622
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
10.89,10.20,85.83,1.33,98.67,4507.22,2.87,0.36,3.17,0.35,2.78,0.32,16.23,0.00,200.98,1.30,0.01,0.00,0.17,0.03,11.74,2.02,466.23,2.51,1.45,0.96,0.15,0.24,0.07,0.08,0.09,2.22,1.38,0.78,0.06,6495688.00,4003905.00,61.64,113.26,
99.96,2.44,97.14,0.64,99.36,4881.52,2.07,0.54,2.10,0.48,1.85,0.48,120.42,0.00,200.89,1.09,0.08,0.00,0.18,0.02,6.09,1.12,445.13,6.76,0.83,5.80,0.14,0.14,0.01,0.04,0.09,6.57,0.82,5.71,0.05,24847982.00,18036148.00,72.59,112.51,
99.96,2.71,96.87,0.81,99.19,4849.47,2.06,0.61,2.10,0.49,1.63,0.48,119.37,0.00,200.70,1.12,0.08,0.00,0.18,0.02,6.37,1.16,443.88,6.82,0.88,5.78,0.17,0.17,0.02,0.04,0.12,6.58,0.82,5.70,0.06,29126643.00,15492290.00,53.19,111.45,
99.96,2.39,97.19,0.67,99.33,4843.11,2.07,0.58,2.10,0.48,1.72,0.48,119.51,0.00,200.86,1.10,0.08,0.00,0.19,0.02,6.18,1.15,443.63,6.80,0.86,5.81,0.14,0.15,0.01,0.03,0.11,6.61,0.83,5.75,0.04,24867457.00,12250247.00,49.26,112.78,
99.96,2.64,96.94,0.77,99.23,4844.81,2.06,0.60,2.10,0.49,1.67,0.48,119.10,0.00,200.63,1.14,0.08,0.00,0.18,0.02,6.43,1.14,443.90,6.80,0.86,5.80,0.15,0.16,0.02,0.03,0.11,6.59,0.83,5.72,0.04,27548717.00,13929177.00,50.56,112.89,
99.96,2.48,97.10,0.73,99.27,4849.29,2.04,0.60,2.08,0.49,1.67,0.48,118.40,0.00,199.31,1.09,0.08,0.00,0.18,0.02,6.56,1.18,452.79,6.55,0.88,5.46,0.24,0.17,0.01,0.03,0.13,6.32,0.83,5.38,0.11,27334044.00,13227138.00,48.39,112.88,
99.96,2.96,96.61,0.97,99.03,4852.73,1.94,0.63,1.98,0.52,1.58,0.51,112.36,0.00,193.49,0.99,0.06,0.00,0.16,0.02,6.57,1.03,487.77,6.18,0.78,4.76,0.64,0.26,0.02,0.04,0.20,5.82,0.75,4.65,0.43,38026658.00,20647316.00,54.30,112.78,
99.93,4.76,94.71,2.18,97.82,4875.27,1.53,0.70,1.57,0.65,1.44,0.64,88.99,0.00,165.41,0.59,0.04,0.00,0.04,0.02,7.40,0.32,650.62,5.75,0.30,3.02,2.44,0.72,0.04,0.10,0.59,4.84,0.21,2.77,1.86,81723788.00,50981662.00,62.38,112.29,
99.94,4.25,95.25,1.94,98.06,4872.99,1.55,0.70,1.58,0.65,1.42,0.63,89.91,0.00,163.84,0.51,0.06,0.00,0.04,0.02,6.54,0.26,649.82,5.23,0.24,2.77,2.24,0.63,0.03,0.08,0.51,4.52,0.22,2.58,1.73,70368233.00,43484559.00,61.80,111.63,
99.94,1.64,97.87,0.69,99.31,4868.49,1.60,0.67,1.62,0.62,1.49,0.62,93.19,0.00,146.11,0.19,0.78,0.00,0.05,0.01,2.68,0.13,656.18,3.27,0.11,1.65,1.49,0.97,0.03,0.04,0.91,2.25,0.09,1.57,0.58,97553361.00,83947440.00,86.05,108.32,
