
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../LSVM/AMDC_IS_micro_performance_lsvm.csv -- ../LSVM/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 15:06:28:637
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
10.85,11.04,85.05,1.91,98.09,4521.39,2.75,0.46,3.05,0.36,2.18,0.33,15.56,0.00,201.05,1.41,0.01,0.00,0.15,0.04,13.55,2.09,467.50,3.01,1.74,1.13,0.24,0.37,0.10,0.13,0.14,2.46,1.53,0.83,0.10,9054219.00,5166659.00,57.06,109.09,
99.96,2.60,97.00,0.69,99.31,4905.04,2.05,0.54,2.09,0.49,1.84,0.48,120.36,0.00,200.86,1.11,0.08,0.00,0.21,0.02,5.82,1.25,442.77,6.81,0.87,5.79,0.15,0.17,0.02,0.05,0.10,6.61,0.85,5.71,0.05,28652964.00,18152725.00,63.35,110.07,
99.96,3.02,96.58,0.89,99.11,4875.44,2.05,0.60,2.09,0.49,1.67,0.48,119.12,0.00,200.82,1.15,0.08,0.00,0.21,0.02,6.42,1.37,442.93,6.88,0.94,5.78,0.18,0.21,0.03,0.05,0.13,6.65,0.91,5.69,0.05,33674736.00,17683561.00,52.51,109.67,
99.96,2.40,97.20,0.67,99.33,4874.55,2.06,0.58,2.09,0.49,1.73,0.48,119.85,0.00,200.84,1.11,0.08,0.00,0.22,0.02,5.78,1.28,442.12,6.83,0.89,5.78,0.15,0.17,0.02,0.03,0.12,6.62,0.88,5.71,0.03,27231071.00,13484490.00,49.52,111.45,
99.96,2.56,97.04,0.74,99.26,4874.04,2.05,0.59,2.09,0.49,1.68,0.48,119.62,0.00,200.72,1.12,0.08,0.00,0.22,0.02,6.07,1.31,443.35,6.81,0.89,5.76,0.16,0.16,0.01,0.02,0.12,6.60,0.87,5.69,0.04,26726203.00,13871199.00,51.90,112.74,
99.96,2.48,97.11,0.74,99.26,4874.58,2.04,0.61,2.08,0.49,1.65,0.48,118.94,0.00,199.76,1.09,0.08,0.00,0.21,0.02,6.31,1.35,449.10,6.62,0.88,5.54,0.20,0.16,0.02,0.03,0.12,6.42,0.86,5.48,0.08,25763884.00,12817431.00,49.75,112.10,
99.96,2.92,96.67,0.96,99.04,4874.82,1.93,0.63,1.96,0.52,1.59,0.51,112.11,0.00,193.02,0.97,0.06,0.00,0.17,0.02,7.24,1.27,489.67,6.13,0.77,4.72,0.63,0.25,0.02,0.03,0.20,5.82,0.75,4.64,0.43,36727217.00,20354060.00,55.42,112.55,
99.94,4.92,94.58,2.30,97.70,4881.33,1.54,0.72,1.58,0.65,1.40,0.63,89.68,0.00,165.87,0.60,0.02,0.00,0.03,0.02,7.71,0.24,650.96,5.72,0.25,3.06,2.47,0.70,0.04,0.09,0.57,4.87,0.16,2.81,1.90,79358829.00,48701118.00,61.37,112.40,
99.95,4.30,95.23,1.98,98.02,4880.95,1.55,0.71,1.59,0.64,1.41,0.63,90.39,0.00,163.78,0.51,0.07,0.00,0.03,0.02,5.91,0.19,650.77,5.25,0.16,2.79,2.29,0.64,0.03,0.08,0.54,4.49,0.14,2.60,1.75,72352171.00,45730162.00,63.20,110.82,
99.95,1.47,98.07,0.63,99.37,4876.19,1.61,0.69,1.62,0.62,1.45,0.62,93.67,0.00,145.28,0.18,0.80,0.00,0.04,0.01,2.15,0.08,655.71,3.07,0.09,1.56,1.42,0.95,0.03,0.03,0.89,2.08,0.06,1.49,0.53,95902623.00,83332482.00,86.89,107.19,
