
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../Naive_Bayes/AMDC_IS_micro_performance_nb.csv -- ../Naive_Bayes/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 14:43:21:717
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
10.79,11.47,84.51,1.83,98.17,4581.13,2.85,0.43,3.17,0.35,2.30,0.32,16.21,0.00,200.97,1.38,0.01,0.00,0.14,0.04,15.81,2.15,461.45,3.28,1.64,1.24,0.40,0.31,0.06,0.11,0.14,2.82,1.55,1.02,0.26,8364921.00,5123429.00,61.25,110.85,
99.95,2.45,97.12,0.63,99.37,4867.03,2.06,0.53,2.10,0.49,1.88,0.48,119.85,0.00,200.81,1.10,0.08,0.00,0.17,0.03,7.89,1.34,443.45,7.03,0.93,5.96,0.13,0.15,0.02,0.04,0.09,6.82,0.91,5.87,0.04,26383996.00,17492777.00,66.30,112.78,
99.95,2.34,97.24,0.63,99.37,4847.70,2.06,0.55,2.10,0.48,1.81,0.48,119.44,0.00,200.87,1.09,0.08,0.00,0.17,0.03,7.88,1.31,444.39,7.02,0.90,5.99,0.13,0.14,0.01,0.03,0.09,6.84,0.88,5.92,0.04,23169001.00,14459844.00,62.41,116.54,
99.95,2.21,97.37,0.62,99.38,4847.80,2.07,0.58,2.10,0.48,1.73,0.48,119.59,0.00,200.84,1.10,0.08,0.00,0.17,0.03,7.86,1.33,443.35,7.00,0.91,5.99,0.11,0.12,0.01,0.02,0.08,6.86,0.89,5.93,0.03,20162619.00,11976424.00,59.40,115.49,
99.95,2.31,97.25,0.65,99.35,4845.82,2.06,0.58,2.10,0.49,1.74,0.48,119.21,0.00,200.52,1.10,0.08,0.00,0.17,0.03,8.05,1.36,444.82,7.01,0.92,5.96,0.13,0.13,0.01,0.03,0.10,6.84,0.90,5.90,0.03,22102053.00,12907031.00,58.40,115.92,
99.95,2.30,97.27,0.67,99.33,4844.25,2.04,0.59,2.07,0.49,1.68,0.48,117.95,0.00,199.33,1.07,0.08,0.00,0.15,0.03,9.56,1.41,453.16,6.76,0.95,5.61,0.23,0.14,0.01,0.02,0.11,6.60,0.94,5.54,0.12,22979906.00,12640338.00,55.01,112.58,
99.95,2.84,96.73,0.93,99.07,4841.14,1.93,0.63,1.97,0.52,1.59,0.51,111.72,0.00,193.91,1.02,0.06,0.00,0.11,0.04,12.84,1.37,487.75,6.40,0.87,4.91,0.62,0.24,0.02,0.04,0.18,6.11,0.85,4.82,0.44,34909786.00,20511830.00,58.76,112.75,
99.93,4.84,94.64,2.29,97.71,4851.01,1.52,0.72,1.56,0.66,1.40,0.64,87.99,0.00,165.38,0.63,0.00,0.00,0.02,0.07,22.67,0.52,657.08,5.75,0.23,3.04,2.47,0.68,0.03,0.09,0.56,4.92,0.19,2.82,1.91,76499738.00,48135152.00,62.92,113.03,
99.58,4.82,94.66,2.25,97.75,4844.93,1.53,0.71,1.57,0.65,1.41,0.64,87.94,0.00,163.22,0.62,0.02,0.00,0.02,0.07,22.20,0.51,658.43,5.84,0.26,3.06,2.54,0.74,0.04,0.09,0.60,4.99,0.21,2.85,1.93,81772351.00,48939941.00,59.85,113.05,
99.12,11.41,87.88,5.03,94.97,4864.14,1.53,0.67,1.65,0.65,1.49,0.61,88.14,0.00,142.42,1.29,0.04,0.00,0.03,0.06,18.99,0.50,657.56,6.15,0.38,3.89,1.89,1.31,0.07,0.14,1.11,4.54,0.30,3.45,0.78,149436235.00,119529625.00,79.99,146.82,
