
AMDuProfPcm Report

Processor Name:,AMD Ryzen 5 7600 6-Core Processor              
System:,Family(0x19) Model(0x61) Stepping(0x2)
Operating System:,Linux 6.14.0-33-generic
Number of Sockets :,1
Number of Core Complexes(CCX) :,1
Number of Cores :,6
Number of Threads :,12
SMT Enabled in HW:,True
SMT Enabled by OS :,True

CPU Topology:
Socket, CCX, Core(s)
0,0, 0 1 2 3 4 5 6 7 8 9 10 11

Core P0 state frequency (MHz):,3801.000000
Multiplex interval for core (ms):,1
Multiplex interval for l3 (ms):,1
Multiplex interval for df (ms):,1
Sample interval (ms):,1000
Data Collection Driver:,Linux Perf Driver
NMI Watchdog Enabled:,0
Version:,5.0.0

Hypervisor Info:
Hypervisor Enabled:,False
Command:,"AMDuProfPcm -m ipc,fp,l1,l2,l3 -d 300 -o ../RF/AMDC_IS_micro_performance_rf.csv -- ../RF/client"

Abbreviation :
IPC    : Instructions Per CPU Cycle
CPI    : CPU Cycles Per Instructions
pti    : Per Thousand Instructions
ptc    : Per Thousand CPU Cycles
Topdown metrics are reported in "% slots"

Profile Time: 2025/10/24 15:49:58:065
CORE METRICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L3 METRICS,,,,
System (Aggregated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,System (Aggregated),,,,
Utilization (%),System time (%),User time (%),System instructions (%),User instructions (%),Eff Freq (MHz),IPC (Sys + User),IPC (Sys),IPC (User),CPI (Sys + User),CPI (Sys),CPI (User),Giga Instructions Per Sec,Locked Instructions (pti),Retired Branches (pti),Retired Branches Mispredicted (pti),Retired SSE/AVX Flops(GFLOPs),FP Dispatch Faults (pti),IC Fetch Miss Ratio,Op Cache Fetch Miss Ratio,IC Access (pti),IC Miss (pti),DC Access (pti),L2 Access (pti),L2 Access from IC Miss (pti),L2 Access from DC Miss (pti),L2 Access from L2 HWPF (pti),L2 Miss (pti),L2 Miss from IC Miss (pti),L2 Miss from DC Miss (pti),L2 Miss from L2 HWPF (pti),L2 Hit (pti),L2 Hit from IC Miss (pti),L2 Hit from DC Miss (pti),L2 Hit from L2 HWPF (pti),L3 Access,L3 Miss,L3 Miss %,Ave L3 Miss Latency (ns),
10.88,9.72,86.36,1.32,98.68,4529.30,2.81,0.37,3.08,0.36,2.74,0.32,15.96,0.00,201.03,1.27,0.01,0.00,0.24,0.03,7.76,1.85,470.77,2.58,1.57,1.02,0.15,0.39,0.20,0.10,0.10,2.54,1.54,0.94,0.05,6133614.00,3518635.00,57.37,113.63,
99.96,2.43,97.17,0.66,99.34,4933.37,2.01,0.55,2.05,0.50,1.83,0.49,118.63,0.00,200.62,1.10,0.08,0.00,0.23,0.02,5.04,1.16,454.86,6.77,0.84,5.77,0.13,0.14,0.01,0.04,0.09,6.57,0.82,5.70,0.04,24272157.00,15719923.00,64.77,113.75,
99.96,2.35,97.24,0.66,99.34,4901.48,2.02,0.56,2.05,0.50,1.78,0.49,118.02,0.00,200.69,1.10,0.08,0.00,0.23,0.02,4.98,1.17,454.17,6.76,0.85,5.76,0.14,0.15,0.01,0.04,0.10,6.57,0.84,5.69,0.04,25140168.00,12488944.00,49.68,113.97,
99.96,2.54,97.05,0.79,99.21,4899.24,2.02,0.62,2.05,0.50,1.60,0.49,118.07,0.00,200.66,1.12,0.08,0.00,0.23,0.02,5.44,1.24,453.85,6.80,0.88,5.77,0.16,0.18,0.03,0.04,0.12,6.58,0.85,5.69,0.04,27005714.00,11937989.00,44.21,112.79,
99.96,2.36,97.23,0.68,99.32,4899.90,2.01,0.58,2.05,0.50,1.72,0.49,117.87,0.00,200.64,1.10,0.08,0.00,0.23,0.02,5.12,1.20,455.62,6.75,0.85,5.75,0.14,0.14,0.01,0.02,0.11,6.56,0.83,5.69,0.03,23351235.00,11693591.00,50.08,114.68,
99.95,2.33,97.24,0.69,99.31,4899.48,2.00,0.59,2.04,0.50,1.69,0.49,117.19,0.00,199.38,1.08,0.08,0.00,0.23,0.02,5.59,1.27,462.79,6.58,0.85,5.43,0.28,0.15,0.01,0.02,0.12,6.39,0.84,5.38,0.16,24114282.00,11610355.00,48.15,113.50,
99.96,2.88,96.70,0.93,99.07,4898.45,1.95,0.62,1.99,0.51,1.61,0.50,113.86,0.00,195.28,1.04,0.07,0.00,0.20,0.02,6.35,1.26,485.16,6.28,0.82,4.88,0.58,0.21,0.02,0.03,0.17,6.01,0.80,4.79,0.41,33168811.00,16715279.00,50.39,113.11,
99.94,5.78,93.69,2.60,97.40,4905.27,1.58,0.71,1.64,0.63,1.41,0.61,92.64,0.00,165.08,0.65,0.00,0.00,0.06,0.02,6.06,0.39,632.34,5.78,0.27,3.04,2.43,0.71,0.05,0.08,0.58,4.92,0.25,2.83,1.85,83311740.00,51810325.00,62.19,114.83,
99.94,5.07,94.42,2.27,97.73,4906.89,1.58,0.70,1.62,0.63,1.42,0.62,92.30,0.00,165.36,0.64,0.00,0.00,0.05,0.02,5.91,0.29,638.08,5.54,0.27,2.93,2.34,0.70,0.05,0.08,0.57,4.74,0.24,2.74,1.77,80734565.00,48952599.00,60.63,114.02,
99.87,11.91,87.18,5.21,94.79,4917.15,1.53,0.66,1.65,0.65,1.51,0.61,89.41,0.00,143.79,1.43,0.00,0.00,0.03,0.04,12.11,0.41,654.49,5.86,0.34,3.79,1.66,1.29,0.06,0.15,1.07,4.21,0.29,3.33,0.59,150729781.00,128936608.00,85.54,150.83,
