filename,file_type,percent_branch,percent_load,percent_store,percent_alu,total_instructions,branch_instructions,load_ops,store_ops,alu_ops
AMDC_AMDS_ipro_performance_ada.csv,AMDC_AMDS,18.7,30.55,21.88,28.87,92501384952,17300688861,28257475528,20235570915,26707649648
AMDC_AMDS_ipro_performance_kmeans.csv,AMDC_AMDS,16.82,36.92,31.36,14.9,2132080922320,358519288265,787192452549,668648836412,317720345094
AMDC_AMDS_ipro_performance_ksvm.csv,AMDC_AMDS,13.1,38.35,27.86,20.7,2339738272374,306407431792,897231073218,651788913200,484310854164
AMDC_AMDS_ipro_performance_linear.csv,AMDC_AMDS,10.98,38.13,31.86,19.03,2095028666820,230002437117,798903600683,667435216252,398687412768
AMDC_AMDS_ipro_performance_logistic.csv,AMDC_AMDS,15.48,34.4,29.58,20.54,2385332634664,369279804230,820448025752,705683081671,489921723011
AMDC_AMDS_ipro_performance_lsvm.csv,AMDC_AMDS,15.48,34.93,29.97,19.62,2374391955617,367441253837,829385536871,711695849353,465869315556
AMDC_AMDS_ipro_performance_nb.csv,AMDC_AMDS,13.21,38.41,29.47,18.91,2191155858489,289551054815,841530113112,645710999211,414363691351
AMDC_AMDS_ipro_performance_rf.csv,AMDC_AMDS,18.58,30.88,22.03,28.52,92516639319,17185893681,28566672079,20382210250,26381863309
AMDS_AMDC_pro1_performance_adaboost.csv,AMDS_AMDC,11.64,20.76,11.81,55.79,10430628,1214553,2165186,1231968,5818921
AMDS_AMDC_pro1_performance_kernel.csv,AMDS_AMDC,17.41,33.01,26.06,23.52,839896504,146187667,277235363,218902555,197570919
AMDS_AMDC_pro1_performance_kmeans.csv,AMDS_AMDC,18.11,26.26,26.33,29.29,7938715,1437966,2085005,2090249,2325495
AMDS_AMDC_pro1_performance_linear.csv,AMDS_AMDC,18.43,32.42,25.55,23.6,657586252,121187046,213182390,168023261,155193555
AMDS_AMDC_pro1_performance_lr.csv,AMDS_AMDC,16.34,36.29,27.23,20.14,282366656,46144843,102460932,76885944,56874937
AMDS_AMDC_pro1_performance_lsvm.csv,AMDS_AMDC,15.95,34.6,26.62,22.84,285924640,45600113,98921418,76107564,65295545
AMDS_AMDC_pro1_performance_nb.csv,AMDS_AMDC,14.48,35.29,28.89,21.34,168798957980,24445112418,59570498048,48762448476,36020899038
AMDS_AMDC_pro1_performance_rf.csv,AMDS_AMDC,17.04,30.73,26.73,25.5,45051408,7675924,13844614,12041203,11489667
